"patient","celltype","group","n","proportion"
"patient14","CD4 T","G1_primary_CRC",58,0.158904109589041
"patient15","CD4 T","G1_primary_CRC",18,0.104046242774566
"patient16","CD4 T","G1_primary_CRC",3,0.01171875
"patient17","CD4 T","G1_primary_CRC",0,0
"patient08","CD45-","G1_primary_CRC",0,0
"patient09","CD45-","G1_primary_CRC",19,0.0788381742738589
"patient10","CD45-","G1_primary_CRC",18,0.0612244897959184
"patient11","CD45-","G1_primary_CRC",1,0.00259067357512953
"patient12","CD45-","G1_primary_CRC",1,0.00171526586620926
"patient13","CD45-","G1_primary_CRC",0,0
"patient14","CD45-","G1_primary_CRC",0,0
"patient15","CD45-","G1_primary_CRC",0,0
"patient16","CD45-","G1_primary_CRC",0,0
"patient17","CD45-","G1_primary_CRC",0,0
"patient08","CD8 T","G1_primary_CRC",7,0.04375
"patient09","CD8 T","G1_primary_CRC",10,0.04149377593361
"patient10","CD8 T","G1_primary_CRC",29,0.0986394557823129
"patient11","CD8 T","G1_primary_CRC",3,0.0077720207253886
"patient12","CD8 T","G1_primary_CRC",56,0.0960548885077187
"patient13","CD8 T","G1_primary_CRC",15,0.0397877984084881
"patient14","CD8 T","G1_primary_CRC",22,0.0602739726027397
"patient15","CD8 T","G1_primary_CRC",16,0.092485549132948
"patient16","CD8 T","G1_primary_CRC",5,0.01953125
"patient17","CD8 T","G1_primary_CRC",0,0
"patient08","DC","G1_primary_CRC",0,0
"patient09","DC","G1_primary_CRC",0,0
"patient10","DC","G1_primary_CRC",4,0.0136054421768707
"patient11","DC","G1_primary_CRC",6,0.0155440414507772
"patient12","DC","G1_primary_CRC",3,0.00514579759862779
"patient13","DC","G1_primary_CRC",0,0
"patient14","DC","G1_primary_CRC",5,0.0136986301369863
"patient15","DC","G1_primary_CRC",2,0.0115606936416185
"patient16","DC","G1_primary_CRC",1,0.00390625
"patient17","DC","G1_primary_CRC",0,0
"patient08","gdT","G1_primary_CRC",0,0
"patient09","gdT","G1_primary_CRC",0,0
"patient10","gdT","G1_primary_CRC",0,0
"patient11","gdT","G1_primary_CRC",0,0
"patient12","gdT","G1_primary_CRC",0,0
"patient13","gdT","G1_primary_CRC",0,0
"patient14","gdT","G1_primary_CRC",0,0
"patient15","gdT","G1_primary_CRC",0,0
"patient16","gdT","G1_primary_CRC",0,0
"patient17","gdT","G1_primary_CRC",0,0
"patient08","ILC3","G1_primary_CRC",0,0
"patient09","ILC3","G1_primary_CRC",1,0.004149377593361
"patient10","ILC3","G1_primary_CRC",0,0
"patient11","ILC3","G1_primary_CRC",1,0.00259067357512953
"patient12","ILC3","G1_primary_CRC",0,0
"patient13","ILC3","G1_primary_CRC",0,0
"patient14","ILC3","G1_primary_CRC",1,0.00273972602739726
"patient15","ILC3","G1_primary_CRC",2,0.0115606936416185
"patient16","ILC3","G1_primary_CRC",0,0
"patient17","ILC3","G1_primary_CRC",0,0
"patient08","Macrophage","G1_primary_CRC",3,0.01875
"patient09","Macrophage","G1_primary_CRC",2,0.00829875518672199
"patient10","Macrophage","G1_primary_CRC",4,0.0136054421768707
"patient11","Macrophage","G1_primary_CRC",6,0.0155440414507772
"patient12","Macrophage","G1_primary_CRC",3,0.00514579759862779
"patient13","Macrophage","G1_primary_CRC",4,0.0106100795755968
"patient14","Macrophage","G1_primary_CRC",1,0.00273972602739726
"patient15","Macrophage","G1_primary_CRC",6,0.0346820809248555
"patient16","Macrophage","G1_primary_CRC",1,0.00390625
"patient17","Macrophage","G1_primary_CRC",0,0
"patient08","MAST","G1_primary_CRC",1,0.00625
"patient09","MAST","G1_primary_CRC",0,0
"patient10","MAST","G1_primary_CRC",4,0.0136054421768707
"patient11","MAST","G1_primary_CRC",10,0.0259067357512953
"patient12","MAST","G1_primary_CRC",4,0.00686106346483705
"patient13","MAST","G1_primary_CRC",6,0.0159151193633952
"patient14","MAST","G1_primary_CRC",5,0.0136986301369863
"patient15","MAST","G1_primary_CRC",2,0.0115606936416185
"patient16","MAST","G1_primary_CRC",0,0
"patient17","MAST","G1_primary_CRC",0,0
"patient08","Monocyte","G1_primary_CRC",0,0
"patient09","Monocyte","G1_primary_CRC",1,0.004149377593361
"patient10","Monocyte","G1_primary_CRC",0,0
"patient11","Monocyte","G1_primary_CRC",0,0
"patient12","Monocyte","G1_primary_CRC",0,0
"patient13","Monocyte","G1_primary_CRC",1,0.0026525198938992
"patient14","Monocyte","G1_primary_CRC",1,0.00273972602739726
"patient15","Monocyte","G1_primary_CRC",0,0
"patient16","Monocyte","G1_primary_CRC",0,0
"patient17","Monocyte","G1_primary_CRC",0,0
"patient08","NK cell","G1_primary_CRC",5,0.03125
"patient09","NK cell","G1_primary_CRC",2,0.00829875518672199
"patient10","NK cell","G1_primary_CRC",13,0.0442176870748299
"patient11","NK cell","G1_primary_CRC",1,0.00259067357512953
"patient12","NK cell","G1_primary_CRC",20,0.0343053173241852
"patient13","NK cell","G1_primary_CRC",2,0.00530503978779841
"patient14","NK cell","G1_primary_CRC",4,0.010958904109589
"patient15","NK cell","G1_primary_CRC",3,0.0173410404624277
"patient16","NK cell","G1_primary_CRC",3,0.01171875
"patient17","NK cell","G1_primary_CRC",0,0
"patient08","NKT","G1_primary_CRC",1,0.00625
"patient09","NKT","G1_primary_CRC",1,0.004149377593361
"patient10","NKT","G1_primary_CRC",1,0.00340136054421769
"patient11","NKT","G1_primary_CRC",0,0
"patient12","NKT","G1_primary_CRC",0,0
"patient13","NKT","G1_primary_CRC",0,0
"patient14","NKT","G1_primary_CRC",1,0.00273972602739726
"patient15","NKT","G1_primary_CRC",0,0
"patient16","NKT","G1_primary_CRC",1,0.00390625
"patient17","NKT","G1_primary_CRC",0,0
"patient08","Bcell","G2_liver_met",5,0.03125
"patient09","Bcell","G2_liver_met",0,0
"patient10","Bcell","G2_liver_met",0,0
"patient11","Bcell","G2_liver_met",17,0.0440414507772021
"patient12","Bcell","G2_liver_met",12,0.0205831903945112
"patient13","Bcell","G2_liver_met",19,0.0503978779840849
"patient14","Bcell","G2_liver_met",7,0.0191780821917808
"patient15","Bcell","G2_liver_met",4,0.023121387283237
"patient16","Bcell","G2_liver_met",7,0.02734375
"patient17","Bcell","G2_liver_met",5,0.0303030303030303
"patient08","CD4 T","G2_liver_met",18,0.1125
"patient09","CD4 T","G2_liver_met",15,0.0622406639004149
"patient10","CD4 T","G2_liver_met",34,0.115646258503401
"patient11","CD4 T","G2_liver_met",50,0.129533678756477
"patient12","CD4 T","G2_liver_met",69,0.118353344768439
"patient13","CD4 T","G2_liver_met",60,0.159151193633952
"patient14","CD4 T","G2_liver_met",57,0.156164383561644
"patient15","CD4 T","G2_liver_met",29,0.167630057803468
"patient16","CD4 T","G2_liver_met",31,0.12109375
"patient17","CD4 T","G2_liver_met",38,0.23030303030303
"patient08","CD45-","G2_liver_met",0,0
"patient09","CD45-","G2_liver_met",8,0.033195020746888
"patient10","CD45-","G2_liver_met",8,0.0272108843537415
"patient11","CD45-","G2_liver_met",5,0.0129533678756477
"patient12","CD45-","G2_liver_met",0,0
"patient13","CD45-","G2_liver_met",0,0
"patient14","CD45-","G2_liver_met",0,0
"patient15","CD45-","G2_liver_met",0,0
"patient16","CD45-","G2_liver_met",0,0
"patient17","CD45-","G2_liver_met",0,0
"patient08","CD8 T","G2_liver_met",21,0.13125
"patient09","CD8 T","G2_liver_met",7,0.029045643153527
"patient10","CD8 T","G2_liver_met",12,0.0408163265306122
"patient11","CD8 T","G2_liver_met",37,0.0958549222797927
"patient12","CD8 T","G2_liver_met",59,0.101200686106346
"patient13","CD8 T","G2_liver_met",49,0.129973474801061
"patient14","CD8 T","G2_liver_met",47,0.128767123287671
"patient15","CD8 T","G2_liver_met",9,0.0520231213872832
"patient16","CD8 T","G2_liver_met",14,0.0546875
"patient17","CD8 T","G2_liver_met",3,0.0181818181818182
"patient08","DC","G2_liver_met",1,0.00625
"patient09","DC","G2_liver_met",0,0
"patient10","DC","G2_liver_met",2,0.00680272108843537
"patient11","DC","G2_liver_met",8,0.0207253886010363
"patient12","DC","G2_liver_met",9,0.0154373927958834
"patient13","DC","G2_liver_met",2,0.00530503978779841
"patient14","DC","G2_liver_met",8,0.0219178082191781
"patient15","DC","G2_liver_met",1,0.00578034682080925
"patient16","DC","G2_liver_met",6,0.0234375
"patient17","DC","G2_liver_met",5,0.0303030303030303
"patient08","gdT","G2_liver_met",2,0.0125
"patient09","gdT","G2_liver_met",0,0
"patient10","gdT","G2_liver_met",1,0.00340136054421769
"patient11","gdT","G2_liver_met",3,0.0077720207253886
"patient12","gdT","G2_liver_met",2,0.00343053173241852
"patient13","gdT","G2_liver_met",0,0
"patient14","gdT","G2_liver_met",2,0.00547945205479452
"patient15","gdT","G2_liver_met",0,0
"patient16","gdT","G2_liver_met",0,0
"patient17","gdT","G2_liver_met",1,0.00606060606060606
"patient08","ILC3","G2_liver_met",0,0
"patient09","ILC3","G2_liver_met",0,0
"patient10","ILC3","G2_liver_met",0,0
"patient11","ILC3","G2_liver_met",0,0
"patient12","ILC3","G2_liver_met",0,0
"patient13","ILC3","G2_liver_met",0,0
"patient14","ILC3","G2_liver_met",1,0.00273972602739726
"patient15","ILC3","G2_liver_met",0,0
"patient16","ILC3","G2_liver_met",1,0.00390625
"patient17","ILC3","G2_liver_met",0,0
"patient08","Macrophage","G2_liver_met",2,0.0125
"patient09","Macrophage","G2_liver_met",1,0.004149377593361
"patient10","Macrophage","G2_liver_met",3,0.0102040816326531
"patient11","Macrophage","G2_liver_met",10,0.0259067357512953
"patient12","Macrophage","G2_liver_met",11,0.0188679245283019
"patient13","Macrophage","G2_liver_met",6,0.0159151193633952
"patient14","Macrophage","G2_liver_met",9,0.0246575342465753
"patient15","Macrophage","G2_liver_met",17,0.0982658959537572
"patient16","Macrophage","G2_liver_met",38,0.1484375
"patient17","Macrophage","G2_liver_met",14,0.0848484848484849
"patient08","MAST","G2_liver_met",0,0
"patient09","MAST","G2_liver_met",0,0
"patient10","MAST","G2_liver_met",0,0
"patient11","MAST","G2_liver_met",3,0.0077720207253886
"patient12","MAST","G2_liver_met",0,0
"patient13","MAST","G2_liver_met",0,0
"patient14","MAST","G2_liver_met",0,0
"patient15","MAST","G2_liver_met",0,0
"patient16","MAST","G2_liver_met",0,0
"patient17","MAST","G2_liver_met",0,0
"patient08","Monocyte","G2_liver_met",0,0
"patient09","Monocyte","G2_liver_met",0,0
"patient10","Monocyte","G2_liver_met",0,0
"patient11","Monocyte","G2_liver_met",2,0.00518134715025907
"patient12","Monocyte","G2_liver_met",2,0.00343053173241852
"patient13","Monocyte","G2_liver_met",0,0
"patient14","Monocyte","G2_liver_met",0,0
"patient15","Monocyte","G2_liver_met",0,0
"patient16","Monocyte","G2_liver_met",2,0.0078125
"patient17","Monocyte","G2_liver_met",1,0.00606060606060606
"patient08","NK cell","G2_liver_met",9,0.05625
"patient09","NK cell","G2_liver_met",0,0
"patient10","NK cell","G2_liver_met",4,0.0136054421768707
"patient11","NK cell","G2_liver_met",15,0.038860103626943
"patient12","NK cell","G2_liver_met",27,0.0463121783876501
"patient13","NK cell","G2_liver_met",37,0.0981432360742706
"patient14","NK cell","G2_liver_met",14,0.0383561643835616
"patient15","NK cell","G2_liver_met",3,0.0173410404624277
"patient16","NK cell","G2_liver_met",3,0.01171875
"patient17","NK cell","G2_liver_met",3,0.0181818181818182
"patient08","NKT","G2_liver_met",0,0
"patient09","NKT","G2_liver_met",0,0
"patient10","NKT","G2_liver_met",1,0.00340136054421769
"patient11","NKT","G2_liver_met",0,0
"patient12","NKT","G2_liver_met",2,0.00343053173241852
"patient13","NKT","G2_liver_met",1,0.0026525198938992
"patient14","NKT","G2_liver_met",4,0.010958904109589
"patient15","NKT","G2_liver_met",0,0
"patient16","NKT","G2_liver_met",0,0
"patient17","NKT","G2_liver_met",0,0
