"RNA_PC1","ATAC_PC1","cluster"
1.91498237879196,0.262178861856848,"C1"
0.145772893131737,1.42100973737175,"C1"
-1.51903362797551,1.21397902732827,"C1"
0.597615244716573,0.375349698859553,"C1"
-0.737184336767516,0.226387407793848,"C1"
2.2807483705046,1.55667866660996,"C1"
0.95248702884761,0.178865641748587,"C1"
0.00858301283981057,1.41375190237524,"C1"
1.34977039661525,1.60444487508101,"C1"
-2.63256265893694,-0.525451124968104,"C1"
-1.20201229808724,1.22268258851869,"C1"
-0.605699839172229,2.12154096596017,"C1"
0.209566183773634,0.500312580199447,"C1"
-0.796641412248165,-0.850156396946015,"C1"
-0.834727952155196,0.0301303796131766,"C1"
0.0437004635369825,-0.140658289816787,"C1"
-0.533213141259463,0.202483451218163,"C1"
-0.676112946746666,0.205232375394012,"C1"
-1.18847498424912,0.493863472848699,"C1"
-0.725857998236005,-1.51693813750164,"C1"
0.322569031744932,1.39041416626375,"C1"
1.18500111231146,1.21191174233128,"C1"
0.330071882061059,0.12504305219137,"C1"
0.851365779068854,0.257348496883175,"C1"
3.2351488132093,2.82382907298689,"C2"
3.87131729153197,3.16000112231924,"C2"
5.83939435858216,2.23026000676274,"C2"
3.81551838999132,2.51857228042783,"C2"
3.13791105435266,4.47823106222445,"C2"
2.90180746529414,2.15700396141868,"C2"
2.70088061009231,0.572228080315576,"C2"
2.69106673295069,2.28136089408106,"C2"
3.86532227144588,2.38039356505962,"C2"
3.09578702955587,2.002666802923,"C2"
3.28962106808078,3.38430651678928,"C2"
4.13714863980782,2.51090255765298,"C2"
3.85272244474481,3.82578020613674,"C2"
4.00518637811227,2.56667509339279,"C2"
6.00355043821919,2.8960777403623,"C2"
4.57367710659131,1.47921112459593,"C2"
3.85269596593555,2.54538950115914,"C2"
3.89321959843022,1.86058410127027,"C2"
4.35568318082586,1.57310898171297,"C2"
3.87473250418757,4.40131010776101,"C2"
4.02727751327806,2.40475321676123,"C2"
3.20742620582337,2.18744755702017,"C2"
4.77344838411218,3.37317325297051,"C2"
4.43204130370409,2.95560086577272,"C2"
2.31464127497021,1.30870924095555,"C2"
3.50965338856796,3.40794750849752,"C2"
2.52756096955545,3.55675573069942,"C2"
2.72071799758534,3.58928096390486,"C2"
3.63374513948086,2.29269273939955,"C2"
3.63755505014048,1.56984149399021,"C2"
4.82129565090196,2.08103443404365,"C2"
3.7287141977704,3.50468421596222,"C2"
3.75611274215532,5.28493283999191,"C2"
2.54730292878921,1.34505470933603,"C2"
3.91474800853577,1.91807558799516,"C2"
4.97056682048617,2.3293469968065,"C2"
2.60972541508562,3.05067389421088,"C2"
2.37453374262102,2.33914029283087,"C2"
2.83283955599588,3.31777085076507,"C2"
4.35652083309044,3.05424155995333,"C2"
3.83724149102026,2.05307886841636,"C2"
2.61144118482185,1.35336493349318,"C2"
1.62424827632724,4.64560021145006,"C2"
3.56291509650999,2.95275886790484,"C2"
2.07316547965181,3.46651839479945,"C2"
3.93656335904833,2.27253323716939,"C2"
3.28314413979476,2.3712909425988,"C2"
1.64041040073668,3.29047213984473,"C2"
4.02915353024646,3.77699522630537,"C2"
3.48807694037846,4.69139312527659,"C2"
4.58111273475635,2.47636277596926,"C2"
2.85112439938406,2.82123882325403,"C2"
4.17030401864474,1.63121033507328,"C2"
2.077109228853,2.17952390367285,"C2"
4.47875540644262,1.47895558985017,"C2"
1.65092862500897,2.84351332692335,"C2"
2.48220154989968,3.18413840416495,"C2"
2.3557919631218,4.17151515268531,"C2"
3.21880454193428,1.76653466187199,"C2"
3.84793077541064,1.95265717592214,"C2"
2.93057151841335,3.31519405429229,"C2"
4.11508626646253,3.41095026716216,"C2"
4.26172980956608,2.39331667126825,"C2"
3.57075309594459,0.982502691629672,"C2"
3.37341140293503,1.33850709474838,"C2"
2.70038979446673,4.39734480893049,"C2"
5.91951688202894,4.01804582068606,"C2"
4.00506447420411,2.46770626379658,"C2"
2.62847172252576,3.7121301924305,"C2"
3.93050908125481,1.56390472050916,"C2"
4.95996546716253,3.70790434821572,"C2"
2.49239083294617,3.17828282998983,"C2"
2.88370600576776,2.00376629618312,"C2"
3.63886790570449,2.28574301868775,"C2"
3.38511227014844,3.80441726551633,"C2"
1.88852406941571,1.19948199690017,"C2"
2.00367016237948,2.47464556323435,"C2"
3.74094923830958,3.29571908572286,"C2"
4.59559502393271,2.87239639303535,"C2"
3.48226648904621,2.61113864012227,"C2"
