"compound_id","compound_name","n_overlap_targets","n_herbs","herbs"
"DS19","przewalskin a",2,1,"Danshen"
"DS37","C09092",2,1,"Danshen"
"DS43","miltipolone",2,1,"Danshen"
"DS7","Baicalin",2,1,"Danshen"
"HL6","Corchoroside A_qt",2,1,"Huanglian"
"RS12","Ginsenoside-Rh4_qt",2,1,"Renshen"
"RS7","Deoxyharringtonine",2,1,"Renshen"
"same6","ginsenoside rh2",2,2,"Renshen;Sanqi"
"DS2","Poriferasterol",1,1,"Danshen"
"DS25","sclareol",1,1,"Danshen"
"DS3","poriferast-5-en-3beta-ol",1,1,"Danshen"
"DS4","isoimperatorin",1,1,"Danshen"
"DS40","manool",1,1,"Danshen"
"DS50","salvianolic acid g",1,1,"Danshen"
"GG4","Daidzein-4,7-diglucoside",1,1,"Gegen"
"HL3","epiberberine",1,1,"Huanglian"
"HQ13","isomucronulatol-7,2'-di-O-glucosiole",1,1,"Huangqi"
"RS14","Panaxadiol",1,1,"Renshen"
