"probe","GSM254684","GSM254674","GSM254664","GSM254724","GSM254627","GSM254661","GSM254647","GSM254696","GSM254641","GSM254675","GSM254694","GSM254678","GSM254717","GSM254695","GSM254708","GSM254646","GSM254711","GSM254669","GSM254673","GSM254702","GSM254691","GSM254689","GSM254710","GSM254719"
"215280_s_at",7.81637361,7.412103246,7.018639375,7.271052122,7.735430221,7.203901143,7.488080711,7.57378594,6.796214429,7.305605587,7.501133945,7.507340444,7.345193909,7.734363069,7.38065771,7.241358509,7.737040604,7.36326849,7.37895068,7.477143573,7.04296648,6.974744328,7.101064769,7.054791315
"212573_at",9.3610616,9.801603536,10.76405641,8.428796295,8.405131084,8.853530838,8.588379497,9.111644034,8.752492611,8.554001397,9.295122709,8.653800272,9.071003176,9.222022451,9.157868868,9.422987245,8.657411571,9.128166252,9.241867128,9.341027196,9.152934219,9.463258886,8.941383544,9.247723573
"219738_s_at",4.896701939,4.619923908,4.513140889,4.677423879,4.664797095,4.690996359,4.734819687,4.614484872,4.466798727,4.867688253,4.798062287,4.998027352,4.664154919,4.674104232,4.71874331,4.541255547,4.842119565,4.63386236,4.680357707,4.893995332,4.660691673,5.034541171,4.817529566,5.035713142
"202823_at",4.618009778,4.56243489,4.699624702,4.453355219,5.114450279,4.56243489,5.747179967,4.334564231,5.070622391,4.81565342,4.648690533,4.778330003,4.614929385,4.444248633,4.76512118,5.046115586,4.789453339,4.705619267,4.523922106,4.62472829,4.696305859,4.990123991,5.126270653,4.560553241
"213725_x_at",7.838087229,7.713065846,7.510136724,6.710999528,7.516977668,8.514403077,7.610553341,7.684067481,7.556182499,8.256385955,7.405191213,7.381782114,8.239766363,7.222952953,7.742110713,7.814874603,7.519265332,7.712501893,7.691792402,8.046203886,8.239253098,7.711983533,8.140938246,7.779185859
"217187_at",9.028031773,8.483788753,9.045086942,9.588781922,9.049122614,8.959494509,8.823185202,8.850081705,8.975489186,9.02484392,8.833102116,9.050439467,9.086719073,8.469173761,8.814390854,8.506650134,8.860592992,8.634563273,8.294080195,8.658029214,9.066959139,8.481513885,8.157369933,8.618033886
"212475_at",7.547321094,7.838709545,7.766113241,7.975543429,7.875092997,7.542561723,8.293288643,7.997516588,7.512211583,8.013547208,7.53178457,7.800292901,7.460693694,7.045930874,7.190045629,7.372842527,7.496087748,7.437860576,7.253326422,7.23524073,7.50716654,7.539975826,7.301143022,7.39836405
"202215_s_at",8.070419559,8.075555663,8.216406205,8.215708237,8.033089452,8.26092768,8.002825601,7.742792086,8.18399636,8.799735938,8.768880271,7.771940471,8.439412313,7.995578429,8.554972074,8.947224197,8.142954094,8.740261992,8.37152476,8.402145411,8.669180576,8.779811368,8.390823768,8.413272318
"208186_s_at",6.875447579,7.275860361,7.539777575,7.35644969,7.463019076,7.609146447,7.280130823,7.683552941,7.323509382,7.499520139,7.305294108,7.195316995,7.157930275,7.509848883,6.983310797,6.676319745,7.501625703,7.114011624,7.383785629,6.865817214,7.323687408,6.556810103,6.387640996,7.457478482
"212358_at",9.350783953,9.130882302,8.763663976,8.694508316,8.959727735,9.218896811,9.025075385,9.244367992,9.078162499,8.980212508,9.066273465,9.177903138,9.1042924,9.183479581,9.181940379,8.820710553,9.096723747,9.066076904,9.0209735,9.266222411,8.977974168,9.057886738,8.649828671,9.127113229
"203450_at",8.770537989,9.508824476,9.419917723,8.796261962,9.559056683,9.06317423,9.1231301,9.637716362,8.687116377,9.35823577,9.089091247,8.773580225,8.694617444,8.701072957,9.202369608,9.145619408,8.667599374,9.149989437,9.15040542,9.119275159,8.934461708,8.656191472,8.96800276,9.002089333
"220077_at",5.913517279,6.447010948,6.911949667,6.749817546,6.53237229,6.43454792,6.369282364,6.353306391,6.289628089,6.315951914,6.642449882,6.310519683,6.308330649,6.685075727,6.288733347,6.20182624,6.43457538,6.319812363,6.516010279,6.820335382,6.361121362,5.998367596,6.193682289,6.429851147
"210204_s_at",5.447363967,6.079166565,6.192395684,5.898987262,6.30072593,6.24252444,6.058456648,5.742818598,5.845740167,6.009794571,5.943658102,5.975235405,6.136957024,5.975364806,6.050341083,5.998717166,5.889532379,6.171373399,5.977554152,6.203114145,6.04561869,5.859380097,6.263326102,5.868212174
"211399_at",4.159228246,4.141856136,4.553232463,4.193268417,4.142740651,4.396569786,4.134830218,4.086836066,4.142219998,4.313413376,4.192915681,4.55086999,4.143662288,4.212088535,4.300660865,4.217043684,4.292454279,4.18310275,4.130316031,4.169805594,4.355251257,4.066165966,4.189598554,4.217043684
"209862_s_at",7.747845328,7.289390571,7.947492599,7.582689688,7.510911414,8.113902226,6.846522197,6.945273286,7.139670848,7.337280134,7.092794483,7.272198194,7.514190664,7.305225603,7.298735706,7.780290375,6.929277772,7.334292145,7.661782321,6.966158685,7.15205188,7.607150694,7.627859928,7.498520537
"205785_at",6.748551298,6.099542089,6.164675556,6.159689036,6.449231006,6.140431495,6.26612709,6.239638057,6.161717214,6.358468737,6.510509757,6.18323326,6.376257002,6.402872442,6.396408213,6.303378819,6.295525183,6.3900933,6.29424435,6.364139041,6.31793198,6.292544702,6.188372745,6.335712318
"219148_at",5.725403086,6.519649382,5.874335167,8.421174699,8.062681321,5.054796114,7.817030009,5.535226654,6.375159328,5.724117244,4.928347278,6.075885199,5.219546477,5.829227379,4.949723307,4.859400222,5.004133631,4.96302035,4.889773349,4.838550593,4.867914874,4.939111655,5.926802966,4.797904089
"209340_at",9.671024724,9.185722835,9.7377644,10.6772677,8.730859082,9.893047348,9.318305621,9.622815923,9.705066351,10.39863155,8.611340181,9.95044978,9.175827422,9.38182301,8.768815121,9.470966263,9.986360989,8.493358956,8.544583215,8.190073305,8.85729479,9.112458873,10.3798736,8.820489223
"215650_at",5.973024636,6.031486063,5.957363454,5.928145077,5.993820205,6.11495143,5.939388383,6.039811014,5.994464823,6.160231036,6.044959554,6.171206393,6.014574553,5.878789838,5.989808612,5.777055926,6.090792202,5.851032037,5.975042983,6.026851737,6.02008187,5.965351775,5.789296835,5.906844444
"218246_at",9.131042245,9.29857264,10.02842742,9.137253197,9.551936981,9.625645564,9.42034979,9.483127585,9.316303581,9.582993398,9.837033332,9.467093463,9.61923724,9.508870356,9.637421783,9.684775942,9.651902033,9.888530848,9.551364537,9.628327533,9.548945224,9.667686032,9.506082123,9.805782818
"209080_x_at",9.529982782,9.649301586,10.0254456,9.59106378,10.73072841,9.081693659,9.662975361,9.15113907,9.043417555,10.0313757,9.071727202,8.659754886,8.582712802,8.559794228,8.974034697,9.186909884,8.549189936,8.935050846,8.860485361,8.59678347,8.714506532,8.980176036,9.204765881,8.753856283
"209084_s_at",6.987348602,6.986594613,6.899097471,7.000116933,6.955340645,7.020967606,6.620161473,7.145887773,6.989702974,6.815175071,6.85841086,7.483558177,7.284040708,7.029798653,7.326045937,7.801107293,7.147216112,7.428090181,7.651005555,7.178476052,7.033059924,8.057508746,7.182890352,7.285054964
"201024_x_at",9.702029394,10.27055973,10.59110198,10.57626455,9.921271571,9.427167588,10.89767607,10.0488359,10.51633687,9.947863837,9.732703811,9.766771906,9.821664242,10.02412996,9.887340326,9.927395041,10.36169355,9.793642374,9.936149522,9.743466259,10.06204717,10.12527141,10.05476997,10.17869213
"208112_x_at",8.564769921,8.921090156,8.757895349,8.627823361,7.740714302,8.748354921,9.080154836,8.970632246,7.915571377,8.989659969,9.183843304,8.699627571,9.216380777,9.236940265,9.209579834,9.265848231,9.771853456,10.06841485,9.762048416,10.10834282,9.067383303,8.860310524,8.864216692,9.746728241
"210195_s_at",7.145708234,7.040285627,6.927234854,7.085388308,7.350237368,7.055752992,7.08053517,6.904034658,7.07912342,7.013149928,7.065310468,7.45156233,7.183889883,7.214663605,7.066571082,6.819348663,7.146402085,7.218213829,6.891150954,7.099163697,7.069367892,7.015767576,7.03189582,6.781206248
"203734_at",9.004749438,9.210974258,9.52983367,9.620436876,9.868132449,10.11905722,8.999509788,9.171927735,9.636008102,9.61849767,9.507539333,9.393844676,9.760793944,9.544997523,9.505245397,9.618410648,9.357665405,9.677877411,9.520806497,9.480024872,9.508613803,9.360433039,9.527482667,9.65725689
"209545_s_at",9.842262826,9.454478772,9.157662017,9.306855956,8.979496347,8.938764177,9.036111323,9.044170517,9.06165142,8.63188602,8.847412115,9.449665507,8.712074791,8.996807523,8.792400849,8.258114902,9.055720273,8.567281364,8.819237912,8.769655131,8.597212297,8.875900155,8.775747278,8.707002507
"203705_s_at",6.385487968,6.125520406,6.149194176,7.006176602,6.555776295,7.138156243,5.910507766,6.465857283,6.907963573,7.011297645,6.224079824,6.70939867,6.738917196,6.181436428,6.766530597,6.769169746,6.920235499,6.860060018,6.530351919,6.63200779,6.619425004,7.100418183,6.371759573,6.702087566
"210536_s_at",6.890800315,6.248587551,6.573186239,6.460254713,6.941925396,6.460300616,6.419144914,6.343414584,6.582567714,6.624603668,6.414283501,6.570584352,6.672579434,6.237891677,6.531116243,6.322258449,6.290868284,6.308725553,6.22044787,6.38518032,6.610527162,6.467374693,6.236525234,6.3448442
"205667_at",6.599317219,6.642357382,7.084030207,7.093643581,6.85876156,6.596819934,6.873418045,6.433213954,7.246382053,6.403651485,6.378401693,6.879998784,6.920189976,6.658814082,6.633620898,6.792190643,6.436353032,6.673842866,6.469800167,6.644653005,6.807029189,6.920115038,7.148295639,6.468146881
"202676_x_at",9.275000106,9.315566222,9.524709998,9.290423894,9.900341976,8.662531468,9.686123569,9.36669661,9.232050624,9.969983212,9.653431145,9.067001198,8.650508174,9.237761342,9.005360891,8.963822421,9.287796623,8.986158562,9.145726316,9.277487832,8.795805624,8.458871421,9.080179711,9.266111704
"207334_s_at",6.219743979,6.061256806,7.029207153,5.931436047,6.419308379,6.444527953,6.035069166,6.108919018,6.344709346,6.292663202,6.451883877,5.965141525,7.246811112,6.545980615,6.296711562,7.843086677,6.026359286,7.040070049,6.987778607,6.430833445,6.447137014,7.209442744,7.43056809,7.338762831
"222316_at",7.277736562,6.926469274,7.204534225,7.119858159,7.186075579,8.304869502,6.856504187,7.339999056,7.80418038,7.095163214,7.202232219,8.028449119,7.1610092,7.017992624,7.433303948,7.502560369,6.985222515,7.092483299,7.164633683,6.93641781,7.444641476,7.208938423,7.43651157,6.880513616
"214926_at",7.970896956,7.673496536,7.907905894,7.704464763,8.20955187,8.094751827,7.696290372,7.727419697,7.809817391,7.698160139,7.89793976,8.047625341,7.78511754,7.871689288,7.876434082,7.55667253,7.718825379,7.797188872,7.485491513,7.727740701,7.870835999,7.678253215,7.503959058,7.817900465
"220899_at",5.422309642,4.955610664,5.132629688,5.042032042,5.405520131,5.081337199,4.976610457,5.319584363,5.071344963,5.171188057,5.134845823,5.310539397,5.228886791,5.039481416,5.14699143,4.758050696,5.198508398,5.050105055,4.912630875,4.904215883,5.289366566,4.939700752,4.871717216,5.011588094
"201813_s_at",8.462736388,9.408420299,9.49118467,9.165239431,9.315039459,8.824950508,9.547362174,9.317975861,8.577915803,9.375073451,9.576301828,8.474848967,9.1824256,9.2786099,9.216496456,8.831449954,9.317182192,8.662288673,9.291772855,9.44881252,9.384873609,9.821528782,9.547257948,9.37903559
"204401_at",7.609326812,8.110936119,9.426116317,7.783219631,7.627955683,8.334694647,7.609643606,8.01908037,7.440505622,7.1423573,8.149279807,7.825165322,6.561769554,7.093239748,6.946830137,6.436917449,7.278022401,6.683626542,6.743016907,6.85100301,6.772419724,6.660664513,6.548146413,6.709009784
"216111_x_at",7.88182441,7.516353581,7.299051617,7.434550084,7.341334092,6.664136238,7.527117502,7.668330314,7.45138967,7.444565288,7.380173918,7.174798493,7.098803893,7.244163287,7.016141749,7.27247321,6.853945147,7.106827397,7.208017189,7.298356223,6.781868828,6.866448866,7.26451778,7.247082977
"206682_at",5.895605034,6.141529037,5.896018425,5.532277317,6.231585029,6.338394367,5.670674928,6.462499267,5.910524328,5.614935985,6.669552376,5.900081822,6.395062924,6.403636264,7.334794378,6.12200246,6.633320122,6.621607781,7.135405097,6.661327193,7.215829641,6.846660833,6.773371961,6.116253161
"202423_at",9.446525295,10.2096905,10.01654007,9.970059338,9.866202081,10.64670113,10.0893689,10.20849232,10.32570737,10.27542838,9.910554863,9.992129368,10.66760484,10.14802151,10.38969331,10.80698072,10.70176905,10.58886285,10.8674,10.98667329,10.3751944,10.49783915,10.10522223,10.98309025
"202017_at",9.887112144,9.683332283,9.622591475,11.76818352,9.48351252,11.90091406,11.05051698,10.74112772,12.80699816,12.4469476,12.00325863,9.960721193,10.76337477,10.3701216,11.31978705,11.97503424,11.11556171,11.20366472,10.85340174,11.29644726,11.59097713,10.96948171,10.97855434,11.61721048
"218421_at",8.601903576,8.588431585,8.493036797,9.332429874,8.746986494,9.171543953,8.513615435,9.118050464,8.195039045,9.43648038,8.93461154,8.492609055,8.947948049,9.359705341,8.901642186,9.174133351,8.81790828,9.043655397,9.199764763,8.875910563,8.690141834,8.605410492,9.124636778,9.045320034
"209295_at",8.602233551,8.952050502,8.741082873,8.284934084,7.154583604,8.028877336,9.292960922,8.373306807,9.94556205,8.145197492,7.636032466,8.50280725,8.517433062,9.214231248,8.774143492,8.334677943,8.871614052,8.299816444,8.325653793,7.947946992,8.19929971,8.335797984,9.20400057,7.57507251
"210033_s_at",6.601416068,7.42915034,6.379522568,7.545383835,6.264188882,7.066795609,6.29403453,6.151093928,6.263428617,6.591857071,7.356202922,6.738617276,6.927244498,6.22436708,8.759089653,8.881927705,7.439467684,6.691194474,8.183434094,8.13998617,7.439767859,8.133570322,6.977788074,8.505459848
"220212_s_at",7.657270117,7.893146138,7.3802307,7.600626305,7.3199279,7.547643661,7.466364947,7.825345149,7.551487942,7.677638917,7.840030141,7.354617784,7.34062612,7.700641478,7.957871247,7.75982343,7.765741947,7.961187328,8.00036941,7.82680492,7.741693151,7.906121758,7.643686168,8.030112907
"205837_s_at",4.122077471,3.904353671,4.101214022,4.17852295,3.902882996,3.960516704,3.931904253,3.9622486,3.960159453,3.837900177,3.914013226,4.072356548,3.976738845,3.942158519,3.953916467,3.926098763,4.074443573,3.868197516,3.855725652,3.969357266,3.864602982,3.864329231,3.920325844,3.85175245
"220204_s_at",6.84079943,6.146010172,6.940380559,6.146014818,6.614314852,6.777940196,6.358491943,6.480932332,6.560559245,7.155559059,6.480879207,6.762150178,6.485242363,6.500477058,6.630929765,6.418111981,6.636344703,6.499769639,6.106208497,6.398525304,6.598744767,5.995338303,6.176633818,6.549496702
"208876_s_at",4.683005137,5.304101027,5.477148505,5.160324236,5.552084765,5.067196445,4.8229982,4.884731996,5.550660569,5.192348814,4.734220959,5.335346102,5.110682007,5.003185639,5.107956786,5.465826487,4.768842029,4.895031802,5.108104288,4.804797445,5.127090118,5.013568094,5.412904924,5.031156244
"204000_at",7.874650308,7.696617866,7.588841571,7.791285317,6.964146211,7.632325641,7.30093599,7.963369935,7.119163429,7.560928504,7.656215268,8.286086186,7.210389306,7.411243208,7.429559952,7.518325987,7.443907192,7.435518588,7.413148104,7.201760309,7.16572845,7.40272863,7.591981672,7.480368652
"218863_s_at",5.626262156,4.626468445,5.151152905,5.115340037,4.82718842,4.561794139,4.577642964,4.750652335,4.323709403,4.812602716,4.874934193,5.138242294,4.481564791,4.931254448,4.387546686,4.538746472,5.530710716,4.471571433,4.577919501,4.928105079,4.606533981,4.466439389,4.424975129,4.970442941
"214839_at",7.337157585,6.992227973,7.342714469,7.314908981,7.380699279,7.143464335,7.066085768,7.096989773,7.244141592,7.134244704,7.10863085,7.209852218,7.340450048,7.208237966,7.312463019,6.813074463,7.231897301,7.017890168,6.878448817,7.091658211,7.259206154,6.998644094,6.81294175,7.139403811
"220250_at",7.173163823,6.975113738,7.035612162,7.194232125,7.519352695,7.429356205,7.139326931,7.106625486,7.204397959,7.384561697,6.960752905,7.236546421,7.153553066,7.199686448,7.00637549,7.144325057,7.437566905,7.031435132,6.904884409,7.086793332,7.21588102,6.952499437,7.076169539,7.162477089
"203439_s_at",7.378339943,7.181765423,7.115103903,7.664281483,7.211181709,6.963327815,7.213817624,7.562216325,6.823428976,7.111452351,7.227599663,6.668669036,7.121501246,7.392393023,6.865154433,7.086040981,7.285975324,7.013760008,7.115103903,7.071673327,6.902019527,6.556059726,6.996415165,6.915778192
"221262_s_at",5.37999835,5.329081294,5.267946477,5.114707325,5.44103823,5.339550548,5.129428656,5.212830813,5.003954177,5.424569243,5.30741316,5.336548017,5.115739186,5.159277804,5.089865862,5.091657447,5.028419967,5.092813851,5.071085991,5.068536653,5.067075928,4.948519116,4.950690756,5.121772142
"210290_at",5.313827261,5.66922084,5.454233406,5.466087042,5.764559936,5.44672777,5.599191774,5.424714175,5.603110734,5.562945917,5.710874146,5.295510657,5.537324295,5.378436806,5.563869254,5.437282956,5.172851922,5.506920064,5.502092273,5.311712072,5.572595635,5.554886424,5.488374299,5.285965777
"221891_x_at",11.86417685,11.86669463,11.7434577,11.66308668,12.00646941,11.80882729,11.98334299,11.74555828,12.03644575,11.80418239,11.61394658,11.86460968,11.38384391,11.8026745,11.82458612,11.57069916,11.81814611,11.7434577,11.71030053,11.4278058,11.77581766,12.26861252,12.1514148,11.80253755
"214204_at",5.766959157,5.300398331,5.708799747,5.862861742,5.598296068,5.387591583,5.044118275,5.356079126,5.33458404,5.382555227,5.576968444,5.138242294,5.669375804,5.358394963,6.296686569,6.515914786,5.785490199,5.585848697,5.963434787,5.893820339,5.80991087,6.239692472,5.508668912,6.111109199
"203422_at",7.433489966,7.080591526,7.472338455,7.531878359,7.876450579,7.091148806,7.273223851,7.230353442,6.982041837,7.452534182,7.184301533,7.197544878,7.033158764,7.19782929,7.124748746,6.935238837,6.957796865,7.237088278,7.026534327,7.000851304,7.190154176,6.819119042,7.152730943,6.979961356
"210203_at",4.590146364,4.879266184,4.869527761,5.007266643,4.935056945,5.085927478,4.826753097,4.901142,4.961650764,4.830331776,4.682661187,5.093297782,5.075873074,4.854851791,4.903389056,5.092948864,4.987789054,4.624337887,4.925213116,5.20522698,4.882615208,4.868140468,4.701172761,4.973123113
"207604_s_at",7.60637702,8.15152478,8.04251099,8.202923372,8.039285772,7.918394664,8.028770456,8.54452032,8.265960466,8.045954873,7.86358828,7.409793134,8.205679069,8.576564121,7.86769107,7.523218705,8.737072698,7.209103576,7.87249086,8.040066511,7.929017095,7.747085966,7.916284145,7.584200711
"207610_s_at",7.22464233,7.25944635,7.351556704,6.562375902,6.76323865,7.565228106,7.961737955,7.93031448,6.874007555,6.992775039,6.519993517,7.383960507,6.798939774,7.176446004,6.890881859,6.551707682,7.622118199,6.635644772,6.888111061,7.083173689,7.335466045,6.97514491,6.860274075,6.842478161
"221348_at",6.29074813,4.983486765,5.480097835,4.777516896,4.97428151,4.982461927,4.868941098,4.917500611,4.86454458,4.93673735,4.898849422,5.014234667,4.853647329,5.1352984,4.975022739,4.634883908,5.11582565,4.819783492,4.889441766,5.120105794,4.85622395,4.680331992,4.93349192,4.762918416
"211297_s_at",7.878710077,8.120473002,8.336768072,8.012699277,7.837187014,7.812225945,7.238077177,7.197740023,8.44144801,7.502770594,8.201797918,7.65998714,7.271322524,7.295102431,7.493169886,7.616646612,6.750170643,7.575753342,7.623348637,7.149062304,7.257139805,8.086354102,7.829989852,7.527683087
"220281_at",4.261932542,4.008948356,4.032537536,3.947568615,4.040426111,3.941726297,3.939058127,3.946657641,3.991461053,3.931460555,3.920243784,4.244431234,4.207695336,3.880644818,4.139499619,3.914682136,4.24932964,4.120785057,3.902693917,4.126429029,4.025292405,4.017817061,3.931460555,3.977430797
"221659_s_at",5.804207604,5.209837101,5.503931831,5.519278096,5.19815508,5.424216548,5.250779003,5.349762888,5.329119439,5.147720783,5.474907455,5.183917033,5.284755448,5.360686448,5.366213667,5.313233638,5.707014935,5.245823983,5.283790201,5.270709416,5.384847946,5.10476205,5.257966078,5.539578242
"215445_x_at",5.5729748,5.087327738,4.880540102,5.237780285,4.889920325,4.947208024,4.933784103,5.217322685,4.843801167,5.012359175,4.986418716,5.232429486,4.881470545,5.25583037,5.083009019,4.817123341,5.618243114,4.699143094,4.962496685,5.083555283,4.810545537,4.776759176,4.881311348,4.930001122
"213698_at",8.625901341,8.796048336,9.422557309,8.750185953,8.929243253,8.766669602,9.253075608,9.188007535,8.564800403,9.172378581,9.343993828,9.812835403,9.23441284,8.849232108,9.279767364,9.549666088,9.080480379,9.983658263,9.915379569,9.681626558,9.545758547,9.97792747,9.383806927,9.709476895
"204774_at",8.932858875,8.296862323,7.800691968,6.807851107,8.132680782,8.748173504,8.030046941,8.771294838,8.275706997,7.656819752,7.88362923,8.299417573,8.419758174,8.483280981,8.654762649,7.974124245,7.889084918,8.106049287,8.760177496,8.034998286,8.825566103,9.147936315,8.760240465,8.535896228
"219469_at",7.065939471,6.791442155,6.806263733,6.922866834,6.628432716,6.693984284,6.772333358,6.703824793,6.598296348,6.769705803,7.275593072,6.997869319,7.405995302,6.942766875,7.766847011,7.992107695,7.506852988,7.196471173,7.947324851,7.399561078,7.250196642,7.934502685,7.378434672,7.712830554
"207355_at",6.937906858,6.670880554,6.987050696,6.698081769,7.16919755,7.796881236,6.763785428,6.818415135,7.653433193,6.776311313,9.06166689,6.825611591,6.907227447,7.005084217,6.810392922,6.710279816,7.054681643,6.864370771,6.41329834,6.518994907,6.796571915,6.631369792,6.780517235,6.655708633
"204048_s_at",8.387279945,9.785629385,8.841228584,9.236713143,8.681583924,8.862221741,8.770416414,9.080690154,8.695502497,8.928200932,9.131406609,9.582308177,10.84935166,9.859774953,9.25616118,9.521338842,10.35333807,9.60317132,10.8017327,10.85940694,9.965216276,10.5170085,9.465525608,10.71127915
