#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
ACHE	APP	9606.ENSP00000303211	9606.ENSP00000284981	0	0	0	0	0.092	0.801	0	0.759	0.952
CDK1	NUF2	9606.ENSP00000378699	9606.ENSP00000271452	0	0	0	0	0.965	0	0	0.434	0.979
CDK1	RASA1	9606.ENSP00000378699	9606.ENSP00000274376	0	0	0	0	0	0.056	0.900	0.087	0.906
CDK1	E2F1	9606.ENSP00000378699	9606.ENSP00000345571	0	0	0	0	0.257	0.519	0.900	0.584	0.983
CDK1	RUNX2	9606.ENSP00000378699	9606.ENSP00000360493	0	0	0	0	0.062	0.226	0.900	0.261	0.939
CDK1	RBL1	9606.ENSP00000378699	9606.ENSP00000362768	0	0	0	0	0.199	0.227	0.900	0.577	0.970
CDK1	PCNA	9606.ENSP00000378699	9606.ENSP00000368458	0	0	0	0	0.982	0.629	0.360	0.448	0.997
CDK1	RXRA	9606.ENSP00000378699	9606.ENSP00000419692	0	0	0	0	0	0.057	0.900	0.099	0.907
CDK1	CDKN1C	9606.ENSP00000378699	9606.ENSP00000413720	0	0	0	0	0.062	0.823	0	0.537	0.916
CDK1	CHEK1	9606.ENSP00000378699	9606.ENSP00000388648	0	0	0.287	0.726	0.855	0.483	0	0.921	0.945
CDK1	TOP2A	9606.ENSP00000378699	9606.ENSP00000411532	0	0	0	0	0.988	0.225	0	0.672	0.996
CDK2	MDM2	9606.ENSP00000266970	9606.ENSP00000258149	0	0	0	0	0.051	0	0.900	0.727	0.971
CDK2	MYC	9606.ENSP00000266970	9606.ENSP00000479618	0	0	0	0	0.118	0.310	0.650	0.787	0.948
CDK2	E2F2	9606.ENSP00000266970	9606.ENSP00000355249	0	0	0	0	0.098	0.148	0.900	0.705	0.974
CDK2	E2F1	9606.ENSP00000266970	9606.ENSP00000345571	0	0	0	0	0.172	0.779	0.900	0.808	0.996
CDK2	PCNA	9606.ENSP00000266970	9606.ENSP00000368458	0	0	0	0	0.684	0.992	0.900	0.484	0.999
CDK2	TP53	9606.ENSP00000266970	9606.ENSP00000269305	0	0	0	0	0.095	0.790	0.900	0.970	0.999
CDK2	RBL1	9606.ENSP00000266970	9606.ENSP00000362768	0	0	0	0	0.111	0.897	0.800	0.989	0.999
CDK2	CDKN1C	9606.ENSP00000266970	9606.ENSP00000413720	0	0	0	0	0.052	0.895	0.800	0.985	0.999
CDKN1C	E2F1	9606.ENSP00000413720	9606.ENSP00000345571	0	0	0	0	0.063	0.270	0.900	0.437	0.956
CDKN1C	E2F2	9606.ENSP00000413720	9606.ENSP00000355249	0	0	0	0	0.062	0	0.900	0.476	0.946
CDKN1C	RBL1	9606.ENSP00000413720	9606.ENSP00000362768	0	0	0	0	0.056	0.370	0.900	0.512	0.967
CDKN1C	CDKN2A	9606.ENSP00000413720	9606.ENSP00000418915	0	0	0	0	0	0.273	0.650	0.685	0.913
CDKN2A	MDM2	9606.ENSP00000418915	9606.ENSP00000258149	0	0	0	0	0	0.913	0.900	0.989	0.999
CDKN2A	TP53	9606.ENSP00000418915	9606.ENSP00000269305	0	0	0	0	0	0.897	0.900	0.915	0.999
CDKN2A	NPM1	9606.ENSP00000418915	9606.ENSP00000296930	0	0	0	0	0	0.891	0	0.989	0.998
CDKN2A	E2F1	9606.ENSP00000418915	9606.ENSP00000345571	0	0	0	0	0.082	0.681	0.900	0.654	0.988
CDKN2A	TOP1	9606.ENSP00000418915	9606.ENSP00000354522	0	0	0	0	0.062	0.680	0	0.851	0.951
CDKN2A	E2F2	9606.ENSP00000418915	9606.ENSP00000355249	0	0	0	0	0.054	0.057	0.900	0.650	0.964
CDKN2A	MYC	9606.ENSP00000418915	9606.ENSP00000479618	0	0	0	0	0	0.880	0.900	0.931	0.999
CHEK1	MDM2	9606.ENSP00000388648	9606.ENSP00000258149	0	0	0	0	0	0	0.900	0.700	0.968
CHEK1	TP53	9606.ENSP00000388648	9606.ENSP00000269305	0	0	0	0	0.096	0.875	0.900	0.861	0.998
CHEK1	DDB1	9606.ENSP00000388648	9606.ENSP00000301764	0	0	0	0	0.062	0.860	0	0.812	0.973
CHEK1	CHEK2	9606.ENSP00000388648	9606.ENSP00000372023	0	0	0.242	0.670	0.266	0.946	0	0.968	0.974
CHEK1	TOP2A	9606.ENSP00000388648	9606.ENSP00000411532	0	0	0	0	0.803	0.205	0	0.678	0.945
CHEK2	MDM2	9606.ENSP00000372023	9606.ENSP00000258149	0	0	0	0	0	0.675	0.900	0.915	0.997
CHEK2	TP53	9606.ENSP00000372023	9606.ENSP00000269305	0	0	0	0	0.096	0.870	0.900	0.884	0.998
COL3A1	PCOLCE	9606.ENSP00000304408	9606.ENSP00000223061	0	0	0	0	0.487	0.857	0.900	0.418	0.995
COL3A1	ITGB3	9606.ENSP00000304408	9606.ENSP00000452786	0	0	0	0	0.090	0.103	0.900	0.391	0.943
CRP	TNF	9606.ENSP00000255030	9606.ENSP00000398698	0	0	0	0	0	0	0	0.911	0.911
CRP	OLR1	9606.ENSP00000255030	9606.ENSP00000309124	0	0	0	0	0	0	0	0.985	0.985
CXCL2	IL1A	9606.ENSP00000427279	9606.ENSP00000263339	0	0	0	0	0.248	0	0.900	0.734	0.978
CXCL2	IL1B	9606.ENSP00000427279	9606.ENSP00000263341	0	0	0	0	0.591	0	0.900	0.874	0.994
CXCL2	RELA	9606.ENSP00000427279	9606.ENSP00000384273	0	0	0	0	0.049	0.270	0.800	0.404	0.906
CXCL2	TNF	9606.ENSP00000427279	9606.ENSP00000398698	0	0	0	0	0.138	0	0.900	0.797	0.981
CXCL2	IL10	9606.ENSP00000427279	9606.ENSP00000412237	0	0	0	0	0.065	0	0.900	0.846	0.984
CYP1A1	CYP3A4	9606.ENSP00000369050	9606.ENSP00000337915	0	0	0.443	0.605	0.123	0.104	0.900	0.903	0.954
CYP1A1	HSD3B1	9606.ENSP00000369050	9606.ENSP00000358421	0	0	0	0	0.050	0.149	0.900	0.392	0.944
CYP1A1	CYP1B1	9606.ENSP00000369050	9606.ENSP00000478561	0	0	0.424	0.893	0.268	0	0.900	0.931	0.934
CYP1A1	RXRA	9606.ENSP00000369050	9606.ENSP00000419692	0	0	0	0	0.052	0.073	0.900	0.456	0.945
CYP1A1	PPARA	9606.ENSP00000369050	9606.ENSP00000385523	0	0	0	0	0.063	0.073	0.900	0.514	0.952
CYP3A4	NR1I2	9606.ENSP00000337915	9606.ENSP00000336528	0	0	0	0	0.135	0.073	0	0.892	0.906
CYP3A4	HSD3B1	9606.ENSP00000337915	9606.ENSP00000358421	0	0	0	0	0.066	0.149	0.900	0.340	0.940
E2F1	MDM2	9606.ENSP00000345571	9606.ENSP00000258149	0	0	0	0	0	0.486	0.900	0.719	0.984
E2F1	TP53	9606.ENSP00000345571	9606.ENSP00000269305	0	0	0	0	0	0.678	0	0.925	0.975
E2F1	PCNA	9606.ENSP00000345571	9606.ENSP00000368458	0	0	0	0	0.173	0	0.900	0.396	0.945
E2F1	E2F2	9606.ENSP00000345571	9606.ENSP00000355249	0	0	0	0.855	0.107	0.393	0.900	0.670	0.946
E2F1	MYC	9606.ENSP00000345571	9606.ENSP00000479618	0	0	0	0	0.088	0	0.900	0.707	0.971
E2F1	RBL1	9606.ENSP00000345571	9606.ENSP00000362768	0	0	0	0	0.186	0.922	0.900	0.883	0.999
E2F2	RBL1	9606.ENSP00000355249	9606.ENSP00000362768	0	0	0	0	0.176	0.749	0.600	0.852	0.986
ECE1	EDN1	9606.ENSP00000364028	9606.ENSP00000368683	0	0	0	0	0.065	0.213	0.900	0.847	0.987
EDN1	MMP2	9606.ENSP00000368683	9606.ENSP00000219070	0	0	0	0	0.062	0	0.800	0.604	0.919
EDN1	MAPK14	9606.ENSP00000368683	9606.ENSP00000229795	0	0	0	0	0	0	0.900	0.462	0.943
EDN1	RAF1	9606.ENSP00000368683	9606.ENSP00000251849	0	0	0	0	0	0	0.900	0.252	0.922
EDN1	EGF	9606.ENSP00000368683	9606.ENSP00000265171	0	0	0	0	0	0	0.900	0.645	0.963
EDN1	F2	9606.ENSP00000368683	9606.ENSP00000308541	0	0	0	0	0	0	0.900	0.531	0.951
EDN1	JUN	9606.ENSP00000368683	9606.ENSP00000360266	0	0	0	0	0.074	0	0.900	0.594	0.959
