stringId_A	stringId_B	preferredName_A	preferredName_B	ncbiTaxonId	score	nscore	fscore	pscore	ascore	escore	dscore	tscore
9606.ENSP00000225275	9606.ENSP00000261267	MPO	LYZ	9606	0.918	0	0	0	0.114	0	0	0.912
9606.ENSP00000225275	9606.ENSP00000361405	MPO	MMP9	9606	0.969	0	0	0	0.085	0	0	0.967
9606.ENSP00000226574	9606.ENSP00000478887	NFKB1	MYC	9606	0.917	0	0	0	0.115	0.292	0	0.879
9606.ENSP00000226574	9606.ENSP00000229135	NFKB1	IFNG	9606	0.932	0	0	0	0.09	0	0	0.929
9606.ENSP00000226574	9606.ENSP00000345571	NFKB1	E2F1	9606	0.932	0	0	0	0	0.422	0	0.888
9606.ENSP00000226574	9606.ENSP00000401888	NFKB1	RAF1	9606	0.94	0	0	0	0.072	0.095	0.9	0.37
9606.ENSP00000226574	9606.ENSP00000309591	NFKB1	PRKACA	9606	0.944	0	0	0	0.07	0.045	0.9	0.451
9606.ENSP00000226574	9606.ENSP00000263339	NFKB1	IL1A	9606	0.946	0	0	0	0.176	0	0.4	0.9
9606.ENSP00000226574	9606.ENSP00000427279	NFKB1	CXCL2	9606	0.969	0	0	0	0.149	0	0.9	0.667
9606.ENSP00000226574	9606.ENSP00000287820	NFKB1	PPARG	9606	0.972	0	0	0	0.087	0.292	0.75	0.851
9606.ENSP00000226574	9606.ENSP00000269305	NFKB1	TP53	9606	0.989	0	0	0	0.098	0.045	0	0.989
9606.ENSP00000226574	9606.ENSP00000360266	NFKB1	JUN	9606	0.994	0	0	0	0.093	0.292	0	0.992
9606.ENSP00000226574	9606.ENSP00000275015	NFKB1	NFKBIE	9606	0.995	0	0	0.096	0.294	0.723	0.9	0.778
9606.ENSP00000226574	9606.ENSP00000263341	NFKB1	IL1B	9606	0.996	0	0	0	0.2	0	0.9	0.959
9606.ENSP00000226574	9606.ENSP00000398698	NFKB1	TNF	9606	0.999	0	0	0	0.194	0	0.9	0.995
9606.ENSP00000226574	9606.ENSP00000430684	NFKB1	IKBKB	9606	0.999	0	0	0	0.125	0.885	0.9	0.979
9606.ENSP00000226574	9606.ENSP00000384273	NFKB1	RELA	9606	0.999	0	0	0	0.182	0.999	0.9	0.986
9606.ENSP00000226730	9606.ENSP00000359663	IL2	CD40LG	9606	0.924	0	0	0	0.217	0	0	0.907
9606.ENSP00000226730	9606.ENSP00000293328	IL2	STAT5B	9606	0.956	0	0	0	0.053	0	0.5	0.916
9606.ENSP00000226730	9606.ENSP00000398698	IL2	TNF	9606	0.957	0	0	0	0.072	0	0	0.955
9606.ENSP00000226730	9606.ENSP00000412237	IL2	IL10	9606	0.964	0	0	0	0.056	0	0	0.963
9606.ENSP00000226730	9606.ENSP00000229135	IL2	IFNG	9606	0.99	0	0	0	0.295	0	0	0.987
9606.ENSP00000226730	9606.ENSP00000263339	IL2	IL1A	9606	0.997	0	0	0	0.111	0	0	0.997
9606.ENSP00000226730	9606.ENSP00000231449	IL2	IL4	9606	0.999	0	0	0	0.432	0	0	0.999
9606.ENSP00000226730	9606.ENSP00000263341	IL2	IL1B	9606	0.999	0	0	0	0.073	0	0	0.999
9606.ENSP00000227266	9606.ENSP00000381185	CTSC	BCL2	9606	0.914	0	0	0	0.055	0	0.9	0.172
9606.ENSP00000228740	9606.ENSP00000363512	LTA4H	ALOX5	9606	0.992	0	0	0	0.104	0.05	0.9	0.924
9606.ENSP00000229135	9606.ENSP00000359663	IFNG	CD40LG	9606	0.919	0	0	0	0.14	0	0	0.909
9606.ENSP00000229135	9606.ENSP00000263339	IFNG	IL1A	9606	0.971	0	0	0	0.166	0	0	0.966
9606.ENSP00000229135	9606.ENSP00000351255	IFNG	STAT4	9606	0.981	0	0	0	0.186	0	0.75	0.917
9606.ENSP00000229135	9606.ENSP00000231449	IFNG	IL4	9606	0.99	0	0	0	0.11	0	0	0.99
9606.ENSP00000229135	9606.ENSP00000398698	IFNG	TNF	9606	0.991	0	0	0	0.202	0	0	0.99
9606.ENSP00000229135	9606.ENSP00000412237	IFNG	IL10	9606	0.995	0	0	0	0.566	0	0	0.989
9606.ENSP00000229135	9606.ENSP00000263341	IFNG	IL1B	9606	0.998	0	0	0	0.273	0	0	0.997
9606.ENSP00000229795	9606.ENSP00000366182	MAPK14	ELK1	9606	0.909	0	0	0	0.049	0.094	0.9	0.074
9606.ENSP00000229795	9606.ENSP00000248553	MAPK14	HSPB1	9606	0.91	0	0	0	0.085	0.316	0.5	0.747
9606.ENSP00000229795	9606.ENSP00000343925	MAPK14	ESR2	9606	0.921	0	0	0	0	0	0.9	0.247
9606.ENSP00000229795	9606.ENSP00000358335	MAPK14	MAP3K7	9606	0.939	0	0	0	0.08	0.11	0.9	0.35
9606.ENSP00000229795	9606.ENSP00000418915	MAPK14	CDKN2A	9606	0.944	0	0	0	0.047	0.216	0.9	0.34
9606.ENSP00000229795	9606.ENSP00000306245	MAPK14	FOS	9606	0.985	0	0	0	0.067	0.256	0.9	0.814
9606.ENSP00000229795	9606.ENSP00000451828	MAPK14	AKT1	9606	0.99	0	0	0.119	0.246	0.739	0.9	0.535
9606.ENSP00000229795	9606.ENSP00000360266	MAPK14	JUN	9606	0.992	0	0	0	0	0.328	0.9	0.891
9606.ENSP00000229795	9606.ENSP00000269305	MAPK14	TP53	9606	0.994	0	0	0	0.046	0.818	0.9	0.744
9606.ENSP00000231449	9606.ENSP00000359663	IL4	CD40LG	9606	0.914	0	0	0	0.088	0	0	0.91
9606.ENSP00000231449	9606.ENSP00000398698	IL4	TNF	9606	0.977	0	0	0	0.055	0	0.4	0.963
9606.ENSP00000231449	9606.ENSP00000412237	IL4	IL10	9606	0.986	0	0	0	0.043	0	0	0.986
9606.ENSP00000231449	9606.ENSP00000263339	IL4	IL1A	9606	0.995	0	0	0	0.111	0	0.4	0.992
9606.ENSP00000231449	9606.ENSP00000263341	IL4	IL1B	9606	0.998	0	0	0	0.072	0	0.4	0.998
9606.ENSP00000231509	9606.ENSP00000350815	NR3C1	NR3C2	9606	0.929	0	0	0.075	0.044	0.51	0.5	0.725
9606.ENSP00000231509	9606.ENSP00000269305	NR3C1	TP53	9606	0.936	0	0	0	0	0.51	0	0.875
9606.ENSP00000231509	9606.ENSP00000306245	NR3C1	FOS	9606	0.961	0	0	0	0	0.108	0	0.958
9606.ENSP00000231509	9606.ENSP00000360266	NR3C1	JUN	9606	0.961	0	0	0	0	0.522	0	0.922
9606.ENSP00000234961	9606.ENSP00000394624	OPRD1	OPRM1	9606	0.967	0	0	0.052	0.121	0.516	0.9	0.319
9606.ENSP00000236671	9606.ENSP00000381185	CTSD	BCL2	9606	0.949	0	0	0	0	0	0.9	0.514
9606.ENSP00000241337	9606.ENSP00000478561	GSTM2	CYP1B1	9606	0.947	0	0	0	0.067	0.045	0.9	0.481
9606.ENSP00000241337	9606.ENSP00000378488	GSTM2	CYP1A1	9606	0.947	0	0	0	0.067	0.045	0.9	0.482
9606.ENSP00000241337	9606.ENSP00000498939	GSTM2	CYP3A4	9606	0.948	0	0	0	0.089	0	0.9	0.476
9606.ENSP00000242057	9606.ENSP00000378488	AHR	CYP1A1	9606	0.973	0	0	0	0.055	0	0.4	0.957
9606.ENSP00000243924	9606.ENSP00000451828	PI3	AKT1	9606	0.991	0	0	0	0	0	0	0.991
9606.ENSP00000245907	9606.ENSP00000366307	C3	THBD	9606	0.933	0	0	0	0.063	0	0.54	0.858
9606.ENSP00000245907	9606.ENSP00000255030	C3	CRP	9606	0.985	0	0	0	0.1	0.463	0	0.973
9606.ENSP00000248553	9606.ENSP00000269305	HSPB1	TP53	9606	0.955	0	0	0	0	0.776	0	0.809
9606.ENSP00000248553	9606.ENSP00000451828	HSPB1	AKT1	9606	0.991	0	0	0	0.05	0.782	0	0.963
9606.ENSP00000255030	9606.ENSP00000308541	CRP	F2	9606	0.906	0	0	0	0.208	0	0	0.887
9606.ENSP00000255030	9606.ENSP00000398698	CRP	TNF	9606	0.938	0	0	0	0	0	0	0.938
9606.ENSP00000255030	9606.ENSP00000309124	CRP	OLR1	9606	0.965	0	0	0	0.057	0	0	0.965
9606.ENSP00000255380	9606.ENSP00000372750	CHRM3	CHRM5	9606	0.933	0	0	0.059	0	0.322	0.9	0.086
9606.ENSP00000256442	9606.ENSP00000269305	CCNB1	TP53	9606	0.914	0	0	0	0.095	0.053	0	0.908
9606.ENSP00000256442	9606.ENSP00000391090	CCNB1	CHEK1	9606	0.935	0	0	0	0.449	0.069	0	0.885
9606.ENSP00000256442	9606.ENSP00000271452	CCNB1	NUF2	9606	0.967	0	0	0	0.848	0	0.4	0.668
9606.ENSP00000256442	9606.ENSP00000411532	CCNB1	TOP2A	9606	0.989	0	0	0	0.859	0.052	0	0.925
9606.ENSP00000256442	9606.ENSP00000481380	CCNB1	CCNA2	9606	0.995	0	0	0	0.855	0.588	0.4	0.889
9606.ENSP00000256442	9606.ENSP00000266970	CCNB1	CDK2	9606	0.999	0	0	0	0.442	0.99	0.4	0.992
9606.ENSP00000256442	9606.ENSP00000378699	CCNB1	CDK1	9606	0.999	0	0	0	0.895	0.999	0.9	0.999
9606.ENSP00000258149	9606.ENSP00000361021	MDM2	PTEN	9606	0.902	0	0	0	0.069	0.045	0.4	0.838
9606.ENSP00000258149	9606.ENSP00000381185	MDM2	BCL2	9606	0.953	0	0	0	0.056	0	0	0.953
9606.ENSP00000258149	9606.ENSP00000311032	MDM2	CASP3	9606	0.966	0	0	0	0.066	0.832	0	0.803
9606.ENSP00000258149	9606.ENSP00000296930	MDM2	NPM1	9606	0.974	0	0	0	0.074	0.785	0	0.88
9606.ENSP00000258149	9606.ENSP00000372023	MDM2	CHEK2	9606	0.983	0	0	0	0.049	0.625	0.75	0.837
9606.ENSP00000258149	9606.ENSP00000345571	MDM2	E2F1	9606	0.992	0	0	0	0	0.625	0	0.98
9606.ENSP00000258149	9606.ENSP00000363822	MDM2	AR	9606	0.998	0	0	0	0	0.92	0	0.979
9606.ENSP00000258149	9606.ENSP00000451828	MDM2	AKT1	9606	0.999	0	0	0	0	0.891	0.9	0.98
9606.ENSP00000258149	9606.ENSP00000418915	MDM2	CDKN2A	9606	0.999	0	0	0	0.068	0.992	0.9	0.999
9606.ENSP00000258149	9606.ENSP00000269305	MDM2	TP53	9606	0.999	0	0	0	0.116	0.999	0.9	0.999
9606.ENSP00000261707	9606.ENSP00000358963	SLC6A4	HTR1B	9606	0.932	0	0	0	0.054	0	0	0.931
9606.ENSP00000261707	9606.ENSP00000437737	SLC6A4	HTR2A	9606	0.961	0	0	0	0	0	0	0.961
9606.ENSP00000261707	9606.ENSP00000316244	SLC6A4	HTR1A	9606	0.968	0	0	0	0.054	0	0	0.968
9606.ENSP00000263321	9606.ENSP00000496129	TYR	PRKCB	9606	0.922	0	0	0	0.073	0	0.9	0.228
9606.ENSP00000263339	9606.ENSP00000427279	IL1A	CXCL2	9606	0.943	0	0	0	0.328	0	0.4	0.87
9606.ENSP00000263339	9606.ENSP00000360266	IL1A	JUN	9606	0.944	0	0	0	0.087	0	0.75	0.775
9606.ENSP00000263339	9606.ENSP00000412237	IL1A	IL10	9606	0.971	0	0	0	0.209	0	0.4	0.944
9606.ENSP00000263339	9606.ENSP00000398698	IL1A	TNF	9606	0.994	0	0	0	0.619	0	0.4	0.976
9606.ENSP00000263339	9606.ENSP00000263341	IL1A	IL1B	9606	0.999	0	0	0	0.961	0	0.9	0.983
9606.ENSP00000263341	9606.ENSP00000351273	IL1B	CASP8	9606	0.943	0	0	0	0.081	0.32	0.5	0.839
9606.ENSP00000263341	9606.ENSP00000361405	IL1B	MMP9	9606	0.949	0	0	0	0.275	0.051	0	0.932
9606.ENSP00000263341	9606.ENSP00000427279	IL1B	CXCL2	9606	0.968	0	0	0	0.522	0	0.4	0.898
9606.ENSP00000263341	9606.ENSP00000356438	IL1B	PTGS2	9606	0.974	0	0	0	0.656	0	0	0.928
9606.ENSP00000263341	9606.ENSP00000360266	IL1B	JUN	9606	0.987	0	0	0	0.166	0	0.9	0.857
9606.ENSP00000263341	9606.ENSP00000384273	IL1B	RELA	9606	0.99	0	0	0	0.118	0	0.9	0.903
9606.ENSP00000263341	9606.ENSP00000412237	IL1B	IL10	9606	0.991	0	0	0	0.409	0	0.4	0.978
9606.ENSP00000263341	9606.ENSP00000398698	IL1B	TNF	9606	0.998	0	0	0	0.616	0	0.4	0.993
9606.ENSP00000264331	9606.ENSP00000411532	TOP2B	TOP2A	9606	0.973	0	0	0.054	0.072	0.597	0.9	0.368
9606.ENSP00000264331	9606.ENSP00000354522	TOP2B	TOP1	9606	0.981	0	0	0	0.118	0.842	0	0.876
9606.ENSP00000265171	9606.ENSP00000451828	EGF	AKT1	9606	0.933	0	0	0	0	0	0	0.933
9606.ENSP00000265171	9606.ENSP00000303830	EGF	INSR	9606	0.968	0	0	0	0	0.062	0.9	0.695
9606.ENSP00000265171	9606.ENSP00000269571	EGF	ERBB2	9606	0.999	0	0	0	0.128	0.314	0.9	0.998
9606.ENSP00000265171	9606.ENSP00000267101	EGF	ERBB3	9606	0.999	0	0	0	0.128	0.314	0.9	0.998
9606.ENSP00000266970	9606.ENSP00000368458	CDK2	PCNA	9606	0.951	0	0	0	0.406	0.876	0	0.39
9606.ENSP00000266970	9606.ENSP00000478887	CDK2	MYC	9606	0.96	0	0	0	0.114	0.327	0.5	0.884
9606.ENSP00000266970	9606.ENSP00000355249	CDK2	E2F2	9606	0.962	0	0	0	0.072	0.091	0.9	0.607
9606.ENSP00000266970	9606.ENSP00000269305	CDK2	TP53	9606	0.987	0	0	0	0.093	0.778	0.5	0.891
9606.ENSP00000266970	9606.ENSP00000418915	CDK2	CDKN2A	9606	0.993	0	0	0	0.072	0.094	0	0.993
9606.ENSP00000266970	9606.ENSP00000378699	CDK2	CDK1	9606	0.994	0	0	0.056	0.349	0.47	0.4	0.977
9606.ENSP00000266970	9606.ENSP00000362768	CDK2	RBL1	9606	0.995	0	0	0	0.109	0.896	0.9	0.597
9606.ENSP00000266970	9606.ENSP00000345571	CDK2	E2F1	9606	0.997	0	0	0	0.164	0.796	0.9	0.873
9606.ENSP00000266970	9606.ENSP00000481380	CDK2	CCNA2	9606	0.999	0	0.003	0	0.453	0.999	0.9	0.999
9606.ENSP00000266970	9606.ENSP00000413720	CDK2	CDKN1C	9606	0.999	0	0	0	0.085	0.859	0.9	0.97
9606.ENSP00000266970	9606.ENSP00000362082	CDK2	CCND3	9606	0.999	0	0	0	0.115	0.995	0.8	0.942
9606.ENSP00000267101	9606.ENSP00000269571	ERBB3	ERBB2	9606	0.999	0	0	0.081	0.086	0.997	0.9	0.984
9606.ENSP00000269305	9606.ENSP00000363822	TP53	AR	9606	0.905	0	0	0	0	0.439	0	0.838
9606.ENSP00000269305	9606.ENSP00000368458	TP53	PCNA	9606	0.913	0	0	0	0.067	0.777	0.5	0.265
9606.ENSP00000269305	9606.ENSP00000358022	TP53	MCL1	9606	0.918	0	0	0	0.055	0.311	0	0.884
9606.ENSP00000269305	9606.ENSP00000323568	TP53	SLC2A2	9606	0.926	0	0	0	0	0	0.9	0.294
9606.ENSP00000269305	9606.ENSP00000430684	TP53	IKBKB	9606	0.933	0	0	0	0.076	0.51	0.5	0.739
9606.ENSP00000269305	9606.ENSP00000269571	TP53	ERBB2	9606	0.935	0	0	0	0.06	0.172	0	0.924
9606.ENSP00000269305	9606.ENSP00000354522	TP53	TOP1	9606	0.947	0	0	0	0	0.643	0	0.86
9606.ENSP00000269305	9606.ENSP00000287820	TP53	PPARG	9606	0.949	0	0	0	0	0.305	0.5	0.866
9606.ENSP00000269305	9606.ENSP00000306245	TP53	FOS	9606	0.952	0	0	0	0.053	0.23	0.5	0.884
9606.ENSP00000269305	9606.ENSP00000330237	TP53	CASP9	9606	0.953	0	0	0	0.067	0	0	0.952
9606.ENSP00000269305	9606.ENSP00000384273	TP53	RELA	9606	0.955	0	0	0	0.126	0.45	0	0.914
9606.ENSP00000269305	9606.ENSP00000311032	TP53	CASP3	9606	0.956	0	0	0	0.093	0.292	0	0.937
9606.ENSP00000269305	9606.ENSP00000378699	TP53	CDK1	9606	0.962	0	0	0	0.095	0.626	0	0.899
9606.ENSP00000269305	9606.ENSP00000356438	TP53	PTGS2	9606	0.974	0	0	0	0	0.82	0	0.866
9606.ENSP00000269305	9606.ENSP00000345571	TP53	E2F1	9606	0.986	0	0	0	0	0.51	0	0.974
9606.ENSP00000269305	9606.ENSP00000351273	TP53	CASP8	9606	0.991	0	0	0	0.086	0.292	0.9	0.879
9606.ENSP00000269305	9606.ENSP00000324806	TP53	GSK3B	9606	0.992	0	0	0	0	0.633	0	0.981
9606.ENSP00000269305	9606.ENSP00000293288	TP53	BAX	9606	0.994	0	0	0	0.08	0.782	0.9	0.774
9606.ENSP00000269305	9606.ENSP00000451828	TP53	AKT1	9606	0.994	0	0	0	0.049	0.184	0.9	0.934
9606.ENSP00000269305	9606.ENSP00000360266	TP53	JUN	9606	0.997	0	0	0	0	0.324	0.5	0.992
9606.ENSP00000269305	9606.ENSP00000391090	TP53	CHEK1	9606	0.997	0	0	0	0.074	0.783	0.9	0.906
9606.ENSP00000269305	9606.ENSP00000478887	TP53	MYC	9606	0.997	0	0	0	0.067	0.3	0	0.997
9606.ENSP00000269305	9606.ENSP00000296930	TP53	NPM1	9606	0.997	0	0	0	0.124	0.847	0.5	0.967
9606.ENSP00000269305	9606.ENSP00000481380	TP53	CCNA2	9606	0.997	0	0	0	0.099	0.292	0.5	0.994
9606.ENSP00000269305	9606.ENSP00000363591	TP53	BAK1	9606	0.997	0	0	0	0.054	0.791	0.9	0.866
9606.ENSP00000269305	9606.ENSP00000372023	TP53	CHEK2	9606	0.999	0	0	0	0.072	0.833	0.75	0.992
9606.ENSP00000269305	9606.ENSP00000381185	TP53	BCL2	9606	0.999	0	0	0	0.103	0.869	0.9	0.999
9606.ENSP00000269305	9606.ENSP00000418915	TP53	CDKN2A	9606	0.999	0	0	0	0	0.874	0.9	0.97
9606.ENSP00000269305	9606.ENSP00000361021	TP53	PTEN	9606	0.999	0	0	0	0.067	0.748	0.9	0.968
9606.ENSP00000270142	9606.ENSP00000324173	SOD1	HSPA5	9606	0.975	0	0	0	0.093	0.236	0.9	0.691
9606.ENSP00000270142	9606.ENSP00000381185	SOD1	BCL2	9606	0.998	0	0	0	0	0.329	0.9	0.976
9606.ENSP00000270349	9606.ENSP00000377353	SLC6A3	DRD1	9606	0.906	0	0	0	0	0	0	0.906
9606.ENSP00000270349	9606.ENSP00000496129	SLC6A3	PRKCB	9606	0.917	0	0	0	0	0	0.9	0.205
9606.ENSP00000271452	9606.ENSP00000411532	NUF2	TOP2A	9606	0.936	0	0	0	0.819	0	0	0.661
9606.ENSP00000271452	9606.ENSP00000481380	NUF2	CCNA2	9606	0.94	0	0	0	0.91	0	0	0.37
9606.ENSP00000271452	9606.ENSP00000378699	NUF2	CDK1	9606	0.957	0	0	0	0.867	0	0.4	0.51
9606.ENSP00000274376	9606.ENSP00000451828	RASA1	AKT1	9606	0.902	0	0	0	0.06	0	0	0.901
9606.ENSP00000275015	9606.ENSP00000430684	NFKBIE	IKBKB	9606	0.978	0	0	0	0.049	0.142	0.9	0.766
9606.ENSP00000275015	9606.ENSP00000384273	NFKBIE	RELA	9606	0.999	0	0.013	0	0.092	0.833	0.9	0.959
9606.ENSP00000282561	9606.ENSP00000378699	GJA1	CDK1	9606	0.922	0	0	0	0.06	0	0.9	0.238
9606.ENSP00000282561	9606.ENSP00000339191	GJA1	CAV1	9606	0.965	0	0	0	0.165	0.329	0.4	0.908
9606.ENSP00000284981	9606.ENSP00000311032	APP	CASP3	9606	0.908	0	0	0	0.06	0.603	0	0.774
9606.ENSP00000284981	9606.ENSP00000303211	APP	ACHE	9606	0.937	0	0	0	0.067	0.735	0	0.769
9606.ENSP00000284981	9606.ENSP00000380070	APP	GAPDH	9606	0.98	0	0	0	0.056	0.069	0.9	0.806
9606.ENSP00000285930	9606.ENSP00000369927	AKR1B1	AKR1C3	9606	0.911	0	0	0.071	0.08	0	0.9	0.088
9606.ENSP00000287820	9606.ENSP00000352900	PPARG	RXRG	9606	0.963	0	0	0	0.049	0.376	0.9	0.456
9606.ENSP00000287820	9606.ENSP00000384273	PPARG	RELA	9606	0.998	0	0	0	0.087	0.834	0.75	0.976
9606.ENSP00000287820	9606.ENSP00000419692	PPARG	RXRA	9606	0.999	0	0	0	0.061	0.999	0.9	0.987
9606.ENSP00000290573	9606.ENSP00000293288	HK2	BAX	9606	0.919	0	0	0	0.057	0	0.9	0.213
9606.ENSP00000290573	9606.ENSP00000447378	HK2	MGAM	9606	0.922	0	0	0	0.056	0	0.912	0.129
9606.ENSP00000293288	9606.ENSP00000309591	BAX	PRKACA	9606	0.924	0	0	0	0.055	0	0.9	0.268
9606.ENSP00000293288	9606.ENSP00000363591	BAX	BAK1	9606	0.996	0	0	0	0.1	0.836	0.9	0.801
9606.ENSP00000293288	9606.ENSP00000381185	BAX	BCL2	9606	0.999	0	0	0	0	0.991	0.9	0.972
9606.ENSP00000293288	9606.ENSP00000358022	BAX	MCL1	9606	0.999	0	0	0	0.049	0.987	0.9	0.915
9606.ENSP00000294728	9606.ENSP00000398698	VCAM1	TNF	9606	0.923	0	0	0	0.1	0	0	0.918
9606.ENSP00000294728	9606.ENSP00000356505	VCAM1	NCF2	9606	0.928	0	0	0	0.054	0	0.9	0.3
9606.ENSP00000294728	9606.ENSP00000331736	VCAM1	SELE	9606	0.979	0	0	0	0.179	0	0	0.976
9606.ENSP00000296930	9606.ENSP00000418915	NPM1	CDKN2A	9606	0.999	0	0	0	0	0.874	0	0.995
9606.ENSP00000297494	9606.ENSP00000327251	NOS3	NOS2	9606	0.912	0	0	0.069	0	0.087	0.9	0.09
9606.ENSP00000297494	9606.ENSP00000451828	NOS3	AKT1	9606	0.997	0	0	0	0	0.786	0.9	0.909
9606.ENSP00000297494	9606.ENSP00000369689	NOS3	CALML5	9606	0.999	0	0	0	0	0.066	0.9	0.996
9606.ENSP00000297494	9606.ENSP00000339191	NOS3	CAV1	9606	0.999	0	0	0	0.044	0.736	0.8	0.995
9606.ENSP00000299855	9606.ENSP00000361405	MMP3	MMP9	9606	0.956	0	0	0.075	0.145	0	0.9	0.514
9606.ENSP00000299855	9606.ENSP00000322788	MMP3	MMP1	9606	0.985	0	0	0.064	0.657	0	0.9	0.597
9606.ENSP00000299855	9606.ENSP00000378517	MMP3	SPP1	9606	0.997	0	0	0	0.07	0	0.75	0.992
9606.ENSP00000301464	9606.ENSP00000391826	IGFBP6	IGF2	9606	0.999	0	0	0	0.126	0.421	0.7	0.997
9606.ENSP00000301764	9606.ENSP00000391090	DDB1	CHEK1	9606	0.902	0	0	0	0.042	0.747	0	0.629
9606.ENSP00000303830	9606.ENSP00000496129	INSR	PRKCB	9606	0.911	0	0	0	0	0.05	0.9	0.143
9606.ENSP00000303830	9606.ENSP00000391826	INSR	IGF2	9606	0.991	0	0	0	0	0.164	0.65	0.971
9606.ENSP00000305372	9606.ENSP00000358301	ADRB2	ADRB1	9606	0.956	0	0	0	0.049	0.237	0.9	0.469
9606.ENSP00000306245	9606.ENSP00000384273	FOS	RELA	9606	0.917	0	0	0	0.101	0.528	0	0.82
9606.ENSP00000306245	9606.ENSP00000496129	FOS	PRKCB	9606	0.93	0	0	0	0.056	0	0.9	0.319
9606.ENSP00000306245	9606.ENSP00000309591	FOS	PRKACA	9606	0.959	0	0	0	0	0.086	0.9	0.594
9606.ENSP00000306245	9606.ENSP00000343925	FOS	ESR2	9606	0.961	0	0	0	0	0.095	0.9	0.611
9606.ENSP00000306245	9606.ENSP00000478887	FOS	MYC	9606	0.965	0	0	0	0.134	0.221	0.4	0.924
9606.ENSP00000306245	9606.ENSP00000360493	FOS	RUNX2	9606	0.987	0	0	0	0.052	0.51	0.9	0.761
