"probe","A","M","pvalue","padj"
"219167_at",7.8979107313,-1.4908564114,1.00555259530208e-07,6.15644446103315e-06
"209210_s_at",10.1881440379,-1.27474221959999,1.09261186131848e-07,6.55567116791088e-06
"202014_at",8.2476092389,-1.036775717,1.48576896948366e-07,8.58781340787383e-06
"204343_at",9.47022546575,-2.4401078763,1.48855432403146e-07,8.58781340787383e-06
"208335_s_at",8.57636064505,-1.47651952989999,1.55393001117713e-07,8.79583025194604e-06
"200700_s_at",10.5980411691,1.4333483738,1.70883760921119e-07,9.49354227339551e-06
"200966_x_at",12.3221084855,1.072344703,1.88531850925939e-07,1.02835555050512e-05
"214433_s_at",9.77951611565,-2.1966712447,1.98699599346428e-07,1.06446213935586e-05
"219970_at",5.566015405,-0.769000343599998,2.07077961652104e-07,1.08988400869528e-05
"209168_at",7.1255554762,-1.0902785154,3.36601137882316e-07,1.74104036835681e-05
"204023_at",8.09559818515,1.2990068383,3.44814839454939e-07,1.75329579383867e-05
"56256_at",10.35394085965,-1.0777702707,3.8473054804878e-07,1.9236527402439e-05
"205407_at",7.58061595435,-1.41621350929999,5.29909442636954e-07,2.60611201296863e-05
"203766_s_at",8.4942157949,-1.4033621436,5.56037539380423e-07,2.67968334468021e-05
"209064_x_at",8.9238406569,1.4265861948,5.62733502382844e-07,2.67968334468021e-05
"210906_x_at",7.1572761339,-1.9376243586,5.94224565336996e-07,2.78312367006336e-05
"200755_s_at",9.17060334095,1.19456831430001,6.08728425092898e-07,2.78312367006336e-05
"207542_s_at",10.07751643915,-1.9853730057,6.12287207413939e-07,2.78312367006336e-05
"200920_s_at",11.076545557,-0.731526025999992,6.6048653818621e-07,2.957402409789e-05
"217367_s_at",7.3501331625,-0.693278173199995,6.7186773471538e-07,2.96412235903844e-05
"220968_s_at",7.77983069195,-0.739962192099997,7.26014766053133e-07,3.15658593936145e-05
"201516_at",8.6828147611,0.844395596400002,8.191465806611e-07,3.51062820283329e-05
"53991_at",7.4029383144,-0.686496947799997,9.30908572866624e-07,3.93341650507024e-05
"38691_s_at",13.5857126402,-3.05645723359999,9.70057972314017e-07,4.04190821797507e-05
"204223_at",9.327364487,-1.29866856799999,9.84005025701917e-07,4.04385627000788e-05
"221246_x_at",7.9891792534,-1.00655903499999,1.06090724888822e-06,4.3009753333306e-05
"205651_x_at",4.7781743297,-0.737281145999999,1.16145232142776e-06,4.64580928571105e-05
"202721_s_at",8.72610931695,0.934155867500003,1.26726685641067e-06,5.00236917004213e-05
"202347_s_at",8.71839988055,0.79860382950001,1.29122001869218e-06,5.03072734555395e-05
"217628_at",7.0116072159,-1.2880857322,1.42500083240163e-06,5.48077243231398e-05
"206868_at",8.5712454707,-0.666540975399995,1.47824284191701e-06,5.60977413257807e-05
"209721_s_at",8.93849986295,-0.565693472299998,1.49593976868748e-06,5.60977413257807e-05
"218883_s_at",7.8206467518,1.7710251076,1.55815373010178e-06,5.77093974111769e-05
"203214_x_at",8.0902925187,1.43571819420001,1.58116891034104e-06,5.78476430612575e-05
"215059_at",7.07739095655,-1.7236965785,1.6546840574561e-06,5.91669096270904e-05
"220037_s_at",5.92637933945,-1.1675036531,1.65667346955853e-06,5.91669096270904e-05
"201910_at",9.3470954174,-0.767128681399994,1.67798890938955e-06,5.92231379784548e-05
"218039_at",8.5362110814,1.7791381172,1.72643978688921e-06,6.02246437286935e-05
"202949_s_at",9.7314335949,1.71879266360001,1.79231463458886e-06,6.18039529168574e-05
"203554_x_at",10.2938299814,1.1841724652,1.85545450027169e-06,6.32541306910804e-05
"203059_s_at",8.3802449161,-0.896164641799995,1.90441752801696e-06,6.4076783182814e-05
"202995_s_at",9.62192987765,-1.9853998559,1.92230349548442e-06,6.4076783182814e-05
"205941_s_at",8.1481086588,1.736744547,1.95708331413457e-06,6.45192301363044e-05
"61297_at",8.0419878664,-0.750861382599994,2.00383005307903e-06,6.53422843395335e-05
"214297_at",6.5514198618,-0.759193678599999,2.41666460530351e-06,7.7956922751726e-05
"212601_at",7.9597638797,-0.662912947799994,2.58330999374377e-06,8.22458375629358e-05
"204464_s_at",9.0279247217,-1.3717133326,2.6044515228263e-06,8.22458375629358e-05
"208370_s_at",8.8021657894,-1.3889410462,2.7432867618842e-06,8.49241788415403e-05
"219662_at",6.4833242682,0.430907100200003,2.74588178254314e-06,8.49241788415403e-05
"215800_at",6.20055714775,-0.658760288899997,2.86068975116654e-06,8.6960219815752e-05
"218313_s_at",8.607170191,1.70705902420001,2.86968725391982e-06,8.6960219815752e-05
"204729_s_at",8.3368635224,0.626044000200007,3.61299316047109e-06,0.000108389794814133
"214783_s_at",8.2150338762,-0.609356215799994,3.70095775945304e-06,0.000109929438399595
"208869_s_at",7.09173888645,-0.691055158699994,3.84093792753301e-06,0.0001129687625745
"214437_s_at",6.7370468827,0.880563457200002,4.00171682988261e-06,0.000116554859122795
"44783_s_at",9.76137376245,-1.71319684729999,4.57324814040028e-06,0.000131920619434623
"209253_at",10.10683443815,-0.511428465699995,4.62959568886043e-06,0.000132274162538869
"219075_at",6.4492313151,0.603543543200005,5.03732539311186e-06,0.0001425658130126
"202246_s_at",10.45347889445,0.6744583431,5.25489403258483e-06,0.000146719904518266
"211748_x_at",11.1938096325,-1.73144727699999,5.28191656265758e-06,0.000146719904518266
"213320_at",6.8991884198,0.771058666400004,5.51920017866604e-06,0.000151904592073377
"218067_s_at",10.2176828335,-0.962916242999997,5.79766000198025e-06,0.000158118000054007
"202483_s_at",10.30397251145,0.902403276300003,6.12517189719865e-06,0.000165545186410774
"214769_at",5.20653792715,-0.660931815899999,6.30504006828973e-06,0.000168885001829189
"200816_s_at",9.75964556625,-0.820279192700001,6.40598171230378e-06,0.000170070310946118
"202954_at",9.0752116798,1.81491746040001,6.87725810550992e-06,0.000180175346112268
"219172_at",7.33993201235,-0.466220836100001,6.95790722571073e-06,0.000180175346112268
"205479_s_at",8.97193935205,1.4735977457,6.96678004967435e-06,0.000180175346112268
"209793_at",6.7091827715,-0.838475508999998,7.23563284347627e-06,0.000185529047268622
"204048_s_at",9.540803882,-1.2277144202,7.67381545658738e-06,0.000195097003133578
"210095_s_at",10.46611382415,1.99562200370001,7.81509963433891e-06,0.000197019318512746
"210334_x_at",7.8350496443,0.629193341800002,8.06394003422204e-06,0.000201458067170511
"201957_at",8.8984728557,-0.714001585399995,8.12547537587727e-06,0.000201458067170511
"202710_at",8.7788885681,1.09535389440001,8.30143357585815e-06,0.000204133612521102
"204777_s_at",7.6528569382,-1.1965315024,8.42493848627266e-06,0.000205486304543236
"213067_at",7.23243888605,-1.6827977755,8.8395757713545e-06,0.000213860704145673
"201335_s_at",5.6408347538,-0.519194701199997,9.31140467095748e-06,0.000223473712102979
"206100_at",8.32955810645,-1.5669312165,9.89724146339185e-06,0.000235648606271235
"208699_x_at",10.26505978725,1.02327311150001,1.00429692711066e-05,0.000237235494593069
"216044_x_at",7.4875173712,0.803679778000006,1.03725434353482e-05,0.000243106486765974
"219469_at",7.1130294487,-0.675440998399996,1.05486030146437e-05,0.000245316349177761
"212902_at",7.19186308135,0.705994331300006,1.16852798944942e-05,0.000269660305257559
"210817_s_at",10.3489663124,-0.557265709199996,1.25804358576236e-05,0.000288101584525732
"213097_s_at",8.64140062955,0.779662096900003,1.27802769697498e-05,0.000290460840221586
"211571_s_at",7.70983336835,1.6339776713,1.31233659019464e-05,0.000296015772224355
"222231_s_at",9.91256668405,0.7803140387,1.36429964153946e-05,0.000305440218255103
"213947_s_at",8.786405513,0.633781985400008,1.39075607407088e-05,0.000309056905349085
"212439_at",8.7347778216,-0.449357264799994,1.41483255555264e-05,0.000310970252536551
"219588_s_at",8.35680308285,1.2233477489,1.42009748658358e-05,0.000310970252536551
"209197_at",6.6072323332,-0.569906444999998,1.46411480356002e-05,0.000315962834036817
"209714_s_at",7.8061650493,1.8082359572,1.46832749302107e-05,0.000315962834036817
"201930_at",9.145303832,0.975811589400006,1.48464765347191e-05,0.000315962834036817
"203657_s_at",8.58024288435,-0.710968120499997,1.48502531997304e-05,0.000315962834036817
"201145_at",10.04640320015,0.566858151100003,1.50034571306086e-05,0.000316974446421309
"204675_at",7.33667766095,1.6803082277,1.54977442789262e-05,0.000325023329953589
"222140_s_at",8.03081750345,0.8173229715,1.56011198377723e-05,0.000325023329953589
"218412_s_at",8.71435832805,0.751769073300002,1.58259553031963e-05,0.000327354298394298
"218136_s_at",7.6152924001,0.635276843200006,1.59312425218559e-05,0.000327354298394298
"201037_at",8.54211925995,1.33766406970001,1.65554343801497e-05,0.000337866007758157
"218049_s_at",7.4154542468,0.863058034400007,1.72001413888907e-05,0.000348651514639676
"212179_at",8.9435580029,-0.962832840599997,1.76528366341988e-05,0.000355426240957023
"201700_at",10.36578938715,-0.877260797699996,1.82145083531545e-05,0.000363972502051494
"205687_at",7.23782511035,0.608548009500003,1.83199492699252e-05,0.000363972502051494
"209683_at",6.90822053205,-1.1854329009,1.88804437886499e-05,0.000372640337933879
"208079_s_at",7.0619870598,1.4454939854,2.00057550162449e-05,0.00039226970620088
"211474_s_at",10.01236559525,-0.978944883499995,2.08150597245047e-05,0.000405488176451391
"59375_at",7.8731548955,-0.603993524999995,2.12276723617478e-05,0.000410858174743506
"218603_at",9.5178134603,-0.699647751399995,2.1746723199791e-05,0.000418206215380597
"207122_x_at",9.3776357987,-0.859462663199995,2.19644684400163e-05,0.000419703218599038
"204401_at",7.3647080833,1.0913510548,2.25355172123266e-05,0.000427889567322657
"214582_at",6.9761976608,-0.649259369399998,2.41096348178719e-05,0.000454898770148526
"212828_at",7.1876333637,0.861504403200005,2.59290481460686e-05,0.000484997841111631
"212124_at",9.8759123431,-0.620773618999994,2.60282174729909e-05,0.000484997841111631
"218142_s_at",9.24731901095,-0.641980283699993,2.76204474400187e-05,0.000511489767407753
"211355_x_at",7.55064649575,-0.759731895499995,2.87059364444803e-05,0.000528330118610067
"212475_at",7.58690549175,0.498570226700006,2.92276203687773e-05,0.00053465159211178
"209335_at",9.91671363175,-1.48345940449999,2.94709179821609e-05,0.000535834872402926
"219288_at",8.22327216325,1.0838960279,2.9825673697776e-05,0.000539018199357397
"201656_at",7.7825625665,-1.1657807942,3.01991977192849e-05,0.000542500557831465
"202080_s_at",9.65943949475,-0.479952112499992,3.05641151111342e-05,0.000545787769841683
"200889_s_at",8.09069822735,0.8885465219,3.26909064722478e-05,0.000580131685947285
"203081_at",9.0861834724,-0.435201616599997,3.28741288703461e-05,0.000580131685947285
"221687_s_at",7.74960231835,-0.423518904899997,3.31783446007833e-05,0.000582076221066374
"206382_s_at",5.7601788885,-0.645925931399998,3.36161942388338e-05,0.000586328969281984
"204027_s_at",8.2732033991,0.528732912600004,3.5141571219089e-05,0.000609391408423509
"210135_s_at",5.15313511685,0.595251825900001,3.80774780312286e-05,0.000656508241917734
"206102_at",6.96722955425,1.3742637653,4.1052029442556e-05,0.000703749076158103
"204331_s_at",8.37720508745,0.816834978899999,4.25486666749643e-05,0.000725261363777801
"204422_s_at",4.7784024172,-0.756171580199998,4.3495236161825e-05,0.000737207392573306
"209080_x_at",9.21958089895,0.860262902700001,4.58292447397147e-05,0.000767477124142673
"221272_s_at",7.1471011076,-0.544742491399996,4.59977272605291e-05,0.000767477124142673
"204667_at",7.67207476775,0.875320283900001,4.60486274485604e-05,0.000767477124142673
"218484_at",7.2948837036,-0.851089116399997,4.80816624111922e-05,0.000796933631124733
"219494_at",6.49348303355,0.753925762100002,4.88561840242331e-05,0.00080532171468516
"214188_at",6.8289993808,-0.565376355999997,4.96840349672697e-05,0.000813323216738016
"208527_x_at",7.52385717255,1.1279275187,4.98838239599317e-05,0.000813323216738016
"208112_x_at",9.0801503077,-0.896967327799992,5.18466514873073e-05,0.000840756510604983
"210776_x_at",8.89756946785,0.719291391900006,5.42580417092257e-05,0.000875129704987511
"206544_x_at",7.93963968035,-0.919013312099998,5.72936428589798e-05,0.000914289801440963
"201543_s_at",8.92977146225,0.558915031100003,5.72954942236337e-05,0.000914289801440963
"204682_at",10.2093057875,-1.054560095,6.05656716061338e-05,0.000961359866764028
"202487_s_at",10.0836933972,0.879661212800002,6.2965719655099e-05,0.000994195573501564
"219747_at",10.1005768299,-1.55465955619999,6.6522619906146e-05,0.00104485790428502
"211931_s_at",9.7030581562,0.655746874600014,6.77907162856446e-05,0.00105842829668884
"204460_s_at",8.8966375672,0.779262185200006,6.80922204203156e-05,0.00105842829668884
"218241_at",9.4568633397,0.712895019200007,6.89591338454913e-05,0.0010663449951432
"202352_s_at",8.477492008,0.601738461400002,6.93124246843083e-05,0.0010663449951432
"218380_at",8.2314137142,-0.615965678599996,7.16674743075993e-05,0.00109695113736121
"205874_at",5.84926451725,0.522258970500002,7.21754426723844e-05,0.00109911841633073
"217912_at",8.49220539725,0.557251216100008,7.46005768437491e-05,0.00113031177035983
"218193_s_at",7.18683071125,0.656183120500003,7.55947182648639e-05,0.00113329020674431
"202669_s_at",8.3254575998,-1.4265603058,7.56822498936601e-05,0.00113329020674431
"201811_x_at",9.9563096984,-0.796699009199992,7.59304438518688e-05,0.00113329020674431
"205111_s_at",6.71363834485,-0.751442809899997,7.66478913191766e-05,0.00113833501959173
"209806_at",10.01139404755,1.07458458850001,7.72322040979659e-05,0.00114136262213743
"205217_at",5.7353416398,0.363310843000002,7.85734675310063e-05,0.00115334505635957
"203878_s_at",8.20325891605,1.1793812443,7.91669980570458e-05,0.00115334505635957
"208119_s_at",7.9478662799,0.553272918000002,7.94286768440917e-05,0.00115334505635957
"201865_x_at",10.46427748015,-0.578899429699998,7.98093590005955e-05,0.00115334505635957
"218270_at",9.41564611485,0.747985062100001,7.99652572409301e-05,0.00115334505635957
"201222_s_at",9.1528940828,0.757415341000003,8.05376454388692e-05,0.00115604275749573
"218644_at",8.650938846,0.498779966200004,8.35190437512984e-05,0.00119001613900653
"204872_at",7.8493157583,-1.0397774102,8.36978017767925e-05,0.00119001613900653
"218076_s_at",9.6127414421,-0.393044981399996,8.51605441726424e-05,0.0012051020401789
"210371_s_at",9.0417386011,0.828855987399999,8.73360445692348e-05,0.00123008513477795
"219228_at",9.422334342,-0.869111575599998,9.14648710255912e-05,0.00128221781811576
"217745_s_at",8.8767748612,0.548872613800004,9.30708955694038e-05,0.00129866365910796
"203511_s_at",9.30470476835,0.591907477300012,9.42562709844867e-05,0.00130009550319202
"218568_at",7.8689263728,0.579542587800005,9.42577748712623e-05,0.00130009550319202
"215452_x_at",9.60953833935,0.426499710100003,9.44736065652868e-05,0.00130009550319202
"202375_at",7.03195152305,0.808217579700002,9.51790035895279e-05,0.00130093375973759
"210821_x_at",7.2728910527,0.442246036600006,9.54018090474231e-05,0.00130093375973759
"205324_s_at",8.73048431495,0.589701993100006,9.74849553497507e-05,0.00132332518574322
"204268_at",8.4014452313,2.48096678300001,0.0001004582745546,0.0013566518868633
"213060_s_at",7.4338014361,-1.015877638,0.000100844456923505,0.0013566518868633
"208858_s_at",10.0293591425,-0.486866672999991,0.000101588063635459,0.00136055442368918
"220295_x_at",7.36161229,0.609553262200005,0.000102253920808937,0.00136338561078583
"204736_s_at",5.7248167606,-0.617803449399998,0.000107608117126619,0.00142842633353919
"218684_at",8.54830475225,0.562628493700002,0.000109271127251365,0.00144178597380495
"221756_at",9.8873538391,-0.708965974399995,0.000109575734009177,0.00144178597380495
"209247_s_at",8.8561093298,0.552448304000006,0.000112618694319531,0.00147535407405499
"220459_at",5.5547298465,0.624730344400004,0.000114568217370465,0.00149436805265825
"207557_s_at",5.9684078275,-0.486764909799994,0.000115210492073903,0.00149525699389739
"34210_at",9.23955811445,-1.53776734589999,0.000115633207528065,0.00149525699389739
"214845_s_at",6.8699129601,1.0029020398,0.000116175710181128,0.0014958245946068
"202395_at",9.75207773545,0.668942690700005,0.000116786231650059,0.00149725938012897
"222154_s_at",10.5918839752,0.744942031800003,0.000119562224438583,0.00152632626942872
"212082_s_at",12.2533466585,-0.317958064999997,0.00012224168635753,0.00155391974183301
"202946_s_at",8.1927573392,-1.0877232612,0.000126702901782207,0.00160383419977477
"219281_at",9.1356431828,-0.420180239599997,0.00013308427185118,0.00167114673833029
"203896_s_at",5.16977769195,-0.623324277899997,0.000133134690153647,0.00167114673833029
"218199_s_at",7.8177419378,0.551929579200004,0.000135385920560831,0.00169232400701039
"206066_s_at",6.98066071625,0.432447033700003,0.000136341169312826,0.00169719297899783
"204108_at",8.0324336045,0.727306214200003,0.000143176159094434,0.00177491106315415
"204030_s_at",7.76554023585,-1.0182130237,0.000146914762551709,0.00181376250063839
"40284_at",8.4696684846,-0.806790787999995,0.000147587755848225,0.00181460355551096
"218416_s_at",6.32514467845,-0.417004835899997,0.000148771743405022,0.00182169481720435
"201453_x_at",11.590438357,0.666305359999999,0.000152697809155063,0.00185753433355235
"212023_s_at",6.4352782343,0.533353829000001,0.000153282766786795,0.00185753433355235
"209304_x_at",10.0983114591,-1.16355808819999,0.000153556171573661,0.00185753433355235
"214132_at",8.04212528645,0.386152650700004,0.000159510882525707,0.0019218178617555
"206682_at",6.32625852325,-0.713708303099996,0.000168157683596729,0.0020146128693593
"217841_s_at",9.31489016805,0.374714550900006,0.000168555943403061,0.0020146128693593
"212009_s_at",7.7267538212,0.618469815400005,0.000171651592644635,0.00203537432949697
"218510_x_at",8.4667557078,-0.795364404999997,0.000172117155927166,0.00203537432949697
"209044_x_at",9.4574638642,0.664851710000001,0.00017232835989741,0.00203537432949697
"212043_at",10.40056754785,-0.486219354299994,0.000174567332755162,0.00205373332653132
"200882_s_at",9.854477772,0.626419139999999,0.000179861471825416,0.00210470974499995
"211714_x_at",11.9932570265,0.882911827000008,0.000180303468154996,0.00210470974499995
"204767_s_at",8.1728990348,0.960053242800003,0.000185576528061761,0.00215105400992908
"209911_x_at",8.86869028235,1.33601830170001,0.00018570766285721,0.00215105400992908
"59697_at",9.2067146784,0.798522157800004,0.000186939335350568,0.0021569923309681
"214455_at",5.62977211825,1.3380370475,0.000196312331889167,0.00225646358493296
"40148_at",5.8398872216,-0.391611362399996,0.000199500857652728,0.00228436096548926
"218782_s_at",6.70045611365,0.776157597100002,0.000206075259797325,0.00235066836270713
"212072_s_at",8.8392862163,0.555858938800007,0.000210418288029786,0.00239111690942939
"218365_s_at",8.0031980208,0.358821317800006,0.000212531175040327,0.00240601330234332
"201727_s_at",8.53223686585,0.410422841300004,0.000219985847203137,0.00248104338950906
"203210_s_at",6.4732859214,0.596366527600003,0.000225627512489045,0.00253511763228467
"203324_s_at",9.0988123709,-1.61075198059999,0.000226930492175837,0.00253511763228467
"209991_x_at",6.76812278775,0.348794892100003,0.000227315547694859,0.00253511763228467
"212549_at",9.08955062075,-0.606078851699998,0.000233510874993929,0.00259456527771033
"204799_at",6.2989242672,0.569169389400007,0.000234730957029343,0.00259849767929162
"206599_at",6.45085870915,-0.384843463299995,0.000238071183371563,0.00262578511071576
"201365_at",9.301676099,-0.436725829799999,0.000241582976331611,0.00265475798166605
"221476_s_at",12.2818238285,-0.534800228999998,0.000244226594392022,0.00267401380721192
"219976_at",6.2184637878,0.613645306200003,0.000245514927596936,0.00267834466469384
"209446_s_at",5.86798152045,0.861723158300003,0.000250316581549517,0.00271998422637085
"208767_s_at",10.3072176508,1.39677520340001,0.000251145210234909,0.00271998422637085
"213142_x_at",9.34127124885,-0.685708623899998,0.000253144498210838,0.00272735143941816
"206805_at",6.78202898605,0.8219416943,0.000253643683865889,0.00272735143941816
"218850_s_at",8.43946696545,-0.652718161099994,0.000255962153434125,0.00274245164393705
"202461_at",8.8180363291,0.529932786800009,0.000273789403030935,0.00292301853769682
"212266_s_at",11.384792466,-0.606979313999993,0.000275046430065587,0.00292602585176157
"203002_at",9.44559739905,-0.9235989651,0.000280127266633566,0.00295912258417418
"201331_s_at",10.50824828955,-0.490258180899991,0.000280130271301822,0.00295912258417418
"202871_at",6.9007655861,0.786883132400004,0.000282862509512723,0.00297750010013393
"208975_s_at",8.2522169971,0.684003239000004,0.00028595065018479,0.00298818281896995
"204868_at",7.7490946723,0.576840844400001,0.000286036154256948,0.00298818281896995
"200913_at",8.66400805035,0.439201659500011,0.000286865550621115,0.00298818281896995
"219541_at",6.68831672325,0.477583980300001,0.000293546194526671,0.00304719233072669
"203035_s_at",8.36617231305,0.584495737100006,0.000295660496569676,0.00305855686106561
"205316_at",7.95124811595,-1.0473492839,0.000297995710236412,0.00307212072408672
"200853_at",10.53463577855,0.665855770900006,0.000300984142286372,0.0030923028317093
"212343_at",9.0600929189,-0.500291645799994,0.000309418831865388,0.00316719383190024
"210423_s_at",7.97734939595,-0.563281848699996,0.000310384995526224,0.00316719383190024
"209354_at",7.3073112362,-0.649943398399997,0.000315512373086185,0.00320860040426629
"219937_at",5.29868311575,-0.686012781099999,0.000319723719431888,0.00324044310235022
"211354_s_at",6.2859266078,-0.678911860399997,0.000321150709733766,0.00324394656296733
"209833_at",7.36927386515,-0.279930590899998,0.000323385053096536,0.00325555422580405
"222037_at",5.63670641915,0.978965219900005,0.000334361198148235,0.00335479463024985
"216407_at",5.62756311535,0.246684503700004,0.000340971762429143,0.00340971762429143
"202393_s_at",9.96586070725,-0.759027992499995,0.000343494484499568,0.00342353306810201
"212346_s_at",8.31697833895,-0.5409945189,0.00034685922700402,0.00343644126827696
"208698_s_at",9.5782710328,0.551877293400009,0.000347080568095973,0.00343644126827696
"212316_at",7.7461678992,0.505621175599998,0.000349367271332633,0.0034477033355194
"208776_at",8.33047391485,-0.539789794099988,0.000351668225772274,0.00345420761609236
"204735_at",8.92167133185,-0.501213228499996,0.000352918516417608,0.00345420761609236
"220147_s_at",9.86226983675,0.693279208100005,0.000353480579380119,0.00345420761609236
"215806_x_at",8.7446341681,-0.837159944399991,0.000356505007837995,0.00346201102921501
"203994_s_at",7.87066060605,-0.346654893499995,0.000356587136009146,0.00346201102921501
"213543_at",7.2641794883,-0.520743359199996,0.000358584349356033,0.00347017112280032
"220276_at",5.20117586105,-0.689769087299998,0.000363671794415011,0.0035080880490194
"204109_s_at",7.2511850336,0.468033055200003,0.000365765115429813,0.00351697226374821
"202423_at",10.3777652567,-0.544587436599997,0.000377244908024658,0.00361576589161014
"208884_s_at",8.79332074615,0.474256806100003,0.000390679769933851,0.00373260926688393
"222325_at",5.437773079,-0.435937936199997,0.000400046234887906,0.00380996414178958
"204175_at",7.88301580945,0.590538665900005,0.00040788823051819,0.00386234277693229
"208632_at",7.99271354735,-0.471801286499996,0.000408120886762512,0.00386234277693229
"214919_s_at",7.8378920425,-0.556061146999998,0.000415414517706363,0.00391900488402229
"207239_s_at",7.7368179418,0.861951260000003,0.000417328845176509,0.00392472268191074
"221693_s_at",8.38765443955,0.2844867803,0.000422265162834726,0.00394982811337277
"219148_at",5.76617345285,1.4895676951,0.000422631608130886,0.00394982811337277
"212729_at",7.3808991524,0.450023700000004,0.000427431490960884,0.00398228097168525
"219088_s_at",6.9510847347,0.354099044200002,0.00042963540077718,0.00399042167904501
"213070_at",8.40445939745,-0.379650711299995,0.00044060663416865,0.00407969105711713
"218660_at",9.22330318505,-0.372351710699995,0.000443974813652616,0.00409822904910107
"209907_s_at",8.9439677938,-0.564406236,0.00044791360973298,0.00412190438404583
"209260_at",8.4190113637,1.2932685508,0.000450309356692885,0.00413127850176958
"205757_at",6.12703273835,0.387913877100004,0.000456084643582392,0.00417150588642431
"218424_s_at",9.28377596735,0.713397935100007,0.000457630393486432,0.00417292152115288
"206573_at",7.57282914565,0.3969208131,0.000473474372339307,0.00430431247581188
