rank,pathway_id,description,file,url
33,hsa05224,Breast cancer,033_hsa05224_Breast_cancer.png,https://rest.kegg.jp/get/hsa05224/image
34,hsa01524,Platinum drug resistance,034_hsa01524_Platinum_drug_resistance.png,https://rest.kegg.jp/get/hsa01524/image
35,hsa05145,Toxoplasmosis,035_hsa05145_Toxoplasmosis.png,https://rest.kegg.jp/get/hsa05145/image
36,hsa05165,Human papillomavirus infection,036_hsa05165_Human_papillomavirus_infection.png,https://rest.kegg.jp/get/hsa05165/image
37,hsa05166,Human T-cell leukemia virus 1 infection,037_hsa05166_Human_T-cell_leukemia_virus_1_infection.png,https://rest.kegg.jp/get/hsa05166/image
38,hsa04625,C-type lectin receptor signaling pathway,038_hsa04625_C-type_lectin_receptor_signaling_pathway.png,https://rest.kegg.jp/get/hsa04625/image
39,hsa05171,Coronavirus disease,039_hsa05171_Coronavirus_disease.png,https://rest.kegg.jp/get/hsa05171/image
40,hsa05170,Human immunodeficiency virus 1 infection,040_hsa05170_Human_immunodeficiency_virus_1_infection.png,https://rest.kegg.jp/get/hsa05170/image
41,hsa05220,Chronic myeloid leukemia,041_hsa05220_Chronic_myeloid_leukemia.png,https://rest.kegg.jp/get/hsa05220/image
42,hsa04218,Cellular senescence,042_hsa04218_Cellular_senescence.png,https://rest.kegg.jp/get/hsa04218/image
43,hsa04064,NF-kappa B signaling pathway,043_hsa04064_NF-kappa_B_signaling_pathway.png,https://rest.kegg.jp/get/hsa04064/image
44,hsa04210,Apoptosis,044_hsa04210_Apoptosis.png,https://rest.kegg.jp/get/hsa04210/image
45,hsa05144,Malaria,045_hsa05144_Malaria.png,https://rest.kegg.jp/get/hsa05144/image
46,hsa05164,Influenza A,046_hsa05164_Influenza_A.png,https://rest.kegg.jp/get/hsa05164/image
47,hsa05223,Non-small cell lung cancer,047_hsa05223_Non-small_cell_lung_cancer.png,https://rest.kegg.jp/get/hsa05223/image
48,hsa04659,Th17 cell differentiation,048_hsa04659_Th17_cell_differentiation.png,https://rest.kegg.jp/get/hsa04659/image
49,hsa04660,T cell receptor signaling pathway,049_hsa04660_T_cell_receptor_signaling_pathway.png,https://rest.kegg.jp/get/hsa04660/image
50,hsa05222,Small cell lung cancer,050_hsa05222_Small_cell_lung_cancer.png,https://rest.kegg.jp/get/hsa05222/image
51,hsa04068,FoxO signaling pathway,051_hsa04068_FoxO_signaling_pathway.png,https://rest.kegg.jp/get/hsa04068/image
52,hsa05168,Herpes simplex virus 1 infection,052_hsa05168_Herpes_simplex_virus_1_infection.png,https://rest.kegg.jp/get/hsa05168/image
53,hsa05132,Salmonella infection,053_hsa05132_Salmonella_infection.png,https://rest.kegg.jp/get/hsa05132/image
54,hsa04931,Insulin resistance,054_hsa04931_Insulin_resistance.png,https://rest.kegg.jp/get/hsa04931/image
55,hsa04010,MAPK signaling pathway,055_hsa04010_MAPK_signaling_pathway.png,https://rest.kegg.jp/get/hsa04010/image
56,hsa04380,Osteoclast differentiation,056_hsa04380_Osteoclast_differentiation.png,https://rest.kegg.jp/get/hsa04380/image
57,hsa04062,Chemokine signaling pathway,057_hsa04062_Chemokine_signaling_pathway.png,https://rest.kegg.jp/get/hsa04062/image
58,hsa05152,Tuberculosis,058_hsa05152_Tuberculosis.png,https://rest.kegg.jp/get/hsa05152/image
59,hsa05146,Amoebiasis,059_hsa05146_Amoebiasis.png,https://rest.kegg.jp/get/hsa05146/image
60,hsa05206,MicroRNAs in cancer,060_hsa05206_MicroRNAs_in_cancer.png,https://rest.kegg.jp/get/hsa05206/image
61,hsa05214,Glioma,061_hsa05214_Glioma.png,https://rest.kegg.jp/get/hsa05214/image
62,hsa05221,Acute myeloid leukemia,062_hsa05221_Acute_myeloid_leukemia.png,https://rest.kegg.jp/get/hsa05221/image
63,hsa04926,Relaxin signaling pathway,063_hsa04926_Relaxin_signaling_pathway.png,https://rest.kegg.jp/get/hsa04926/image
64,hsa05321,Inflammatory bowel disease,064_hsa05321_Inflammatory_bowel_disease.png,https://rest.kegg.jp/get/hsa05321/image
65,hsa05131,Shigellosis,065_hsa05131_Shigellosis.png,https://rest.kegg.jp/get/hsa05131/image
66,hsa04722,Neurotrophin signaling pathway,066_hsa04722_Neurotrophin_signaling_pathway.png,https://rest.kegg.jp/get/hsa04722/image
67,hsa04917,Prolactin signaling pathway,067_hsa04917_Prolactin_signaling_pathway.png,https://rest.kegg.jp/get/hsa04917/image
68,hsa05230,Central carbon metabolism in cancer,068_hsa05230_Central_carbon_metabolism_in_cancer.png,https://rest.kegg.jp/get/hsa05230/image
69,hsa04621,NOD-like receptor signaling pathway,069_hsa04621_NOD-like_receptor_signaling_pathway.png,https://rest.kegg.jp/get/hsa04621/image
70,hsa05130,Pathogenic Escherichia coli infection,070_hsa05130_Pathogenic_Escherichia_coli_infection.png,https://rest.kegg.jp/get/hsa05130/image
71,hsa04115,p53 signaling pathway,071_hsa04115_p53_signaling_pathway.png,https://rest.kegg.jp/get/hsa04115/image
72,hsa04510,Focal adhesion,072_hsa04510_Focal_adhesion.png,https://rest.kegg.jp/get/hsa04510/image
73,hsa04012,ErbB signaling pathway,073_hsa04012_ErbB_signaling_pathway.png,https://rest.kegg.jp/get/hsa04012/image
74,hsa04518,Integrin signaling,074_hsa04518_Integrin_signaling.png,https://rest.kegg.jp/get/hsa04518/image
75,hsa04370,VEGF signaling pathway,075_hsa04370_VEGF_signaling_pathway.png,https://rest.kegg.jp/get/hsa04370/image
76,hsa05133,Pertussis,076_hsa05133_Pertussis.png,https://rest.kegg.jp/get/hsa05133/image
77,hsa05211,Renal cell carcinoma,077_hsa05211_Renal_cell_carcinoma.png,https://rest.kegg.jp/get/hsa05211/image
78,hsa04662,B cell receptor signaling pathway,078_hsa04662_B_cell_receptor_signaling_pathway.png,https://rest.kegg.jp/get/hsa04662/image
79,hsa05203,Viral carcinogenesis,079_hsa05203_Viral_carcinogenesis.png,https://rest.kegg.jp/get/hsa05203/image
80,hsa05323,Rheumatoid arthritis,080_hsa05323_Rheumatoid_arthritis.png,https://rest.kegg.jp/get/hsa05323/image
81,hsa04630,JAK-STAT signaling pathway,081_hsa04630_JAK-STAT_signaling_pathway.png,https://rest.kegg.jp/get/hsa04630/image
82,hsa04148,Efferocytosis,082_hsa04148_Efferocytosis.png,https://rest.kegg.jp/get/hsa04148/image
83,hsa04932,Non-alcoholic fatty liver disease,083_hsa04932_Non-alcoholic_fatty_liver_disease.png,https://rest.kegg.jp/get/hsa04932/image
84,hsa04664,Fc epsilon RI signaling pathway,084_hsa04664_Fc_epsilon_RI_signaling_pathway.png,https://rest.kegg.jp/get/hsa04664/image
85,hsa05120,Epithelial cell signaling in Helicobacter pylori infection,085_hsa05120_Epithelial_cell_signaling_in_Helicobacter_pylori_infection.png,https://rest.kegg.jp/get/hsa05120/image
86,hsa04658,Th1 and Th2 cell differentiation,086_hsa04658_Th1_and_Th2_cell_differentiation.png,https://rest.kegg.jp/get/hsa04658/image
87,hsa04211,Longevity regulating pathway,087_hsa04211_Longevity_regulating_pathway.png,https://rest.kegg.jp/get/hsa04211/image
88,hsa04920,Adipocytokine signaling pathway,088_hsa04920_Adipocytokine_signaling_pathway.png,https://rest.kegg.jp/get/hsa04920/image
89,hsa05216,Thyroid cancer,089_hsa05216_Thyroid_cancer.png,https://rest.kegg.jp/get/hsa05216/image
90,hsa05134,Legionellosis,090_hsa05134_Legionellosis.png,https://rest.kegg.jp/get/hsa05134/image
91,hsa04919,Thyroid hormone signaling pathway,091_hsa04919_Thyroid_hormone_signaling_pathway.png,https://rest.kegg.jp/get/hsa04919/image
92,hsa04014,Ras signaling pathway,092_hsa04014_Ras_signaling_pathway.png,https://rest.kegg.jp/get/hsa04014/image
93,hsa04670,Leukocyte transendothelial migration,093_hsa04670_Leukocyte_transendothelial_migration.png,https://rest.kegg.jp/get/hsa04670/image
94,hsa05415,Diabetic cardiomyopathy,094_hsa05415_Diabetic_cardiomyopathy.png,https://rest.kegg.jp/get/hsa05415/image
95,hsa04935,"Growth hormone synthesis, secretion and action",095_hsa04935_Growth_hormone_synthesis_secretion_and_action.png,https://rest.kegg.jp/get/hsa04935/image
96,hsa05143,African trypanosomiasis,096_hsa05143_African_trypanosomiasis.png,https://rest.kegg.jp/get/hsa05143/image
97,hsa05204,Chemical carcinogenesis - DNA adducts,097_hsa05204_Chemical_carcinogenesis_-_DNA_adducts.png,https://rest.kegg.jp/get/hsa05204/image
98,hsa04015,Rap1 signaling pathway,098_hsa04015_Rap1_signaling_pathway.png,https://rest.kegg.jp/get/hsa04015/image
99,hsa04071,Sphingolipid signaling pathway,099_hsa04071_Sphingolipid_signaling_pathway.png,https://rest.kegg.jp/get/hsa04071/image
100,hsa05231,Choline metabolism in cancer,100_hsa05231_Choline_metabolism_in_cancer.png,https://rest.kegg.jp/get/hsa05231/image
101,hsa05202,Transcriptional misregulation in cancer,101_hsa05202_Transcriptional_misregulation_in_cancer.png,https://rest.kegg.jp/get/hsa05202/image
102,hsa05022,Pathways of neurodegeneration - multiple diseases,102_hsa05022_Pathways_of_neurodegeneration_-_multiple_diseases.png,https://rest.kegg.jp/get/hsa05022/image
103,hsa05010,Alzheimer disease,103_hsa05010_Alzheimer_disease.png,https://rest.kegg.jp/get/hsa05010/image
104,hsa04650,Natural killer cell mediated cytotoxicity,104_hsa04650_Natural_killer_cell_mediated_cytotoxicity.png,https://rest.kegg.jp/get/hsa04650/image
105,hsa04623,Cytosolic DNA-sensing pathway,105_hsa04623_Cytosolic_DNA-sensing_pathway.png,https://rest.kegg.jp/get/hsa04623/image
106,hsa04217,Necroptosis,106_hsa04217_Necroptosis.png,https://rest.kegg.jp/get/hsa04217/image
107,hsa04915,Estrogen signaling pathway,107_hsa04915_Estrogen_signaling_pathway.png,https://rest.kegg.jp/get/hsa04915/image
108,hsa04213,Longevity regulating pathway - multiple species,108_hsa04213_Longevity_regulating_pathway_-_multiple_species.png,https://rest.kegg.jp/get/hsa04213/image
109,hsa04550,Signaling pathways regulating pluripotency of stem cells,109_hsa04550_Signaling_pathways_regulating_pluripotency_of_stem_cells.png,https://rest.kegg.jp/get/hsa04550/image
110,hsa04613,Neutrophil extracellular trap formation,110_hsa04613_Neutrophil_extracellular_trap_formation.png,https://rest.kegg.jp/get/hsa04613/image
111,hsa04520,Adherens junction,111_hsa04520_Adherens_junction.png,https://rest.kegg.jp/get/hsa04520/image
112,hsa04930,Type II diabetes mellitus,112_hsa04930_Type_II_diabetes_mellitus.png,https://rest.kegg.jp/get/hsa04930/image
113,hsa04152,AMPK signaling pathway,113_hsa04152_AMPK_signaling_pathway.png,https://rest.kegg.jp/get/hsa04152/image
114,hsa04140,Autophagy - animal,114_hsa04140_Autophagy_-_animal.png,https://rest.kegg.jp/get/hsa04140/image
115,hsa01523,Antifolate resistance,115_hsa01523_Antifolate_resistance.png,https://rest.kegg.jp/get/hsa01523/image
116,hsa04622,RIG-I-like receptor signaling pathway,116_hsa04622_RIG-I-like_receptor_signaling_pathway.png,https://rest.kegg.jp/get/hsa04622/image
117,hsa04726,Serotonergic synapse,117_hsa04726_Serotonergic_synapse.png,https://rest.kegg.jp/get/hsa04726/image
118,hsa00980,Metabolism of xenobiotics by cytochrome P450,118_hsa00980_Metabolism_of_xenobiotics_by_cytochrome_P450.png,https://rest.kegg.jp/get/hsa00980/image
119,hsa04912,GnRH signaling pathway,119_hsa04912_GnRH_signaling_pathway.png,https://rest.kegg.jp/get/hsa04912/image
120,hsa04371,Apelin signaling pathway,120_hsa04371_Apelin_signaling_pathway.png,https://rest.kegg.jp/get/hsa04371/image
121,hsa04914,Progesterone-mediated oocyte maturation,121_hsa04914_Progesterone-mediated_oocyte_maturation.png,https://rest.kegg.jp/get/hsa04914/image
122,hsa04519,Cadherin signaling,122_hsa04519_Cadherin_signaling.png,https://rest.kegg.jp/get/hsa04519/image
123,hsa04150,mTOR signaling pathway,123_hsa04150_mTOR_signaling_pathway.png,https://rest.kegg.jp/get/hsa04150/image
124,hsa04960,Aldosterone-regulated sodium reabsorption,124_hsa04960_Aldosterone-regulated_sodium_reabsorption.png,https://rest.kegg.jp/get/hsa04960/image
125,hsa00982,Drug metabolism - cytochrome P450,125_hsa00982_Drug_metabolism_-_cytochrome_P450.png,https://rest.kegg.jp/get/hsa00982/image
126,hsa05330,Allograft rejection,126_hsa05330_Allograft_rejection.png,https://rest.kegg.jp/get/hsa05330/image
127,hsa04060,Cytokine-cytokine receptor interaction,127_hsa04060_Cytokine-cytokine_receptor_interaction.png,https://rest.kegg.jp/get/hsa04060/image
128,hsa04929,GnRH secretion,128_hsa04929_GnRH_secretion.png,https://rest.kegg.jp/get/hsa04929/image
129,hsa04215,Apoptosis - multiple species,129_hsa04215_Apoptosis_-_multiple_species.png,https://rest.kegg.jp/get/hsa04215/image
130,hsa04611,Platelet activation,130_hsa04611_Platelet_activation.png,https://rest.kegg.jp/get/hsa04611/image
131,hsa04666,Fc gamma R-mediated phagosome formation,131_hsa04666_Fc_gamma_R-mediated_phagosome_formation.png,https://rest.kegg.jp/get/hsa04666/image
132,hsa05020,Prion disease,132_hsa05020_Prion_disease.png,https://rest.kegg.jp/get/hsa05020/image
133,hsa04725,Cholinergic synapse,133_hsa04725_Cholinergic_synapse.png,https://rest.kegg.jp/get/hsa04725/image
134,hsa04928,"Parathyroid hormone synthesis, secretion and action",134_hsa04928_Parathyroid_hormone_synthesis_secretion_and_action.png,https://rest.kegg.jp/get/hsa04928/image
135,hsa04072,Phospholipase D signaling pathway,135_hsa04072_Phospholipase_D_signaling_pathway.png,https://rest.kegg.jp/get/hsa04072/image
136,hsa04730,Long-term depression,136_hsa04730_Long-term_depression.png,https://rest.kegg.jp/get/hsa04730/image
137,hsa04976,Bile secretion,137_hsa04976_Bile_secretion.png,https://rest.kegg.jp/get/hsa04976/image
138,hsa04934,Cushing syndrome,138_hsa04934_Cushing_syndrome.png,https://rest.kegg.jp/get/hsa04934/image
139,hsa00590,Arachidonic acid metabolism,139_hsa00590_Arachidonic_acid_metabolism.png,https://rest.kegg.jp/get/hsa00590/image
140,hsa04110,Cell cycle,140_hsa04110_Cell_cycle.png,https://rest.kegg.jp/get/hsa04110/image
141,hsa04024,cAMP signaling pathway,141_hsa04024_cAMP_signaling_pathway.png,https://rest.kegg.jp/get/hsa04024/image
142,hsa05332,Graft-versus-host disease,142_hsa05332_Graft-versus-host_disease.png,https://rest.kegg.jp/get/hsa05332/image
143,hsa04910,Insulin signaling pathway,143_hsa04910_Insulin_signaling_pathway.png,https://rest.kegg.jp/get/hsa04910/image
144,hsa04672,Intestinal immune network for IgA production,144_hsa04672_Intestinal_immune_network_for_IgA_production.png,https://rest.kegg.jp/get/hsa04672/image
145,hsa04750,Inflammatory mediator regulation of TRP channels,145_hsa04750_Inflammatory_mediator_regulation_of_TRP_channels.png,https://rest.kegg.jp/get/hsa04750/image
146,hsa04061,Viral protein interaction with cytokine and cytokine receptor,146_hsa04061_Viral_protein_interaction_with_cytokine_and_cytokine_receptor.png,https://rest.kegg.jp/get/hsa04061/image
147,hsa04921,Oxytocin signaling pathway,147_hsa04921_Oxytocin_signaling_pathway.png,https://rest.kegg.jp/get/hsa04921/image
148,hsa04517,IgSF CAM signaling,148_hsa04517_IgSF_CAM_signaling.png,https://rest.kegg.jp/get/hsa04517/image
149,hsa05416,Viral myocarditis,149_hsa05416_Viral_myocarditis.png,https://rest.kegg.jp/get/hsa05416/image
150,hsa00591,Linoleic acid metabolism,150_hsa00591_Linoleic_acid_metabolism.png,https://rest.kegg.jp/get/hsa00591/image
151,hsa04310,Wnt signaling pathway,151_hsa04310_Wnt_signaling_pathway.png,https://rest.kegg.jp/get/hsa04310/image
152,hsa04940,Type I diabetes mellitus,152_hsa04940_Type_I_diabetes_mellitus.png,https://rest.kegg.jp/get/hsa04940/image
153,hsa04540,Gap junction,153_hsa04540_Gap_junction.png,https://rest.kegg.jp/get/hsa04540/image
154,hsa05100,Bacterial invasion of epithelial cells,154_hsa05100_Bacterial_invasion_of_epithelial_cells.png,https://rest.kegg.jp/get/hsa05100/image
155,hsa04020,Calcium signaling pathway,155_hsa04020_Calcium_signaling_pathway.png,https://rest.kegg.jp/get/hsa04020/image
156,hsa04973,Carbohydrate digestion and absorption,156_hsa04973_Carbohydrate_digestion_and_absorption.png,https://rest.kegg.jp/get/hsa04973/image
157,hsa05217,Basal cell carcinoma,157_hsa05217_Basal_cell_carcinoma.png,https://rest.kegg.jp/get/hsa05217/image
158,hsa00983,Drug metabolism - other enzymes,158_hsa00983_Drug_metabolism_-_other_enzymes.png,https://rest.kegg.jp/get/hsa00983/image
159,hsa00140,Steroid hormone biosynthesis,159_hsa00140_Steroid_hormone_biosynthesis.png,https://rest.kegg.jp/get/hsa00140/image
160,hsa04916,Melanogenesis,160_hsa04916_Melanogenesis.png,https://rest.kegg.jp/get/hsa04916/image
161,hsa04913,Ovarian steroidogenesis,161_hsa04913_Ovarian_steroidogenesis.png,https://rest.kegg.jp/get/hsa04913/image
162,hsa05320,Autoimmune thyroid disease,162_hsa05320_Autoimmune_thyroid_disease.png,https://rest.kegg.jp/get/hsa05320/image
163,hsa04922,Glucagon signaling pathway,163_hsa04922_Glucagon_signaling_pathway.png,https://rest.kegg.jp/get/hsa04922/image
164,hsa04810,Regulation of actin cytoskeleton,164_hsa04810_Regulation_of_actin_cytoskeleton.png,https://rest.kegg.jp/get/hsa04810/image
165,hsa00380,Tryptophan metabolism,165_hsa00380_Tryptophan_metabolism.png,https://rest.kegg.jp/get/hsa00380/image
166,hsa04145,Phagocytosis,166_hsa04145_Phagocytosis.png,https://rest.kegg.jp/get/hsa04145/image
167,hsa05310,Asthma,167_hsa05310_Asthma.png,https://rest.kegg.jp/get/hsa05310/image
168,hsa04514,Cell adhesion molecule (CAM) interaction,168_hsa04514_Cell_adhesion_molecule_CAM_interaction.png,https://rest.kegg.jp/get/hsa04514/image
169,hsa04720,Long-term potentiation,169_hsa04720_Long-term_potentiation.png,https://rest.kegg.jp/get/hsa04720/image
170,hsa00830,Retinol metabolism,170_hsa00830_Retinol_metabolism.png,https://rest.kegg.jp/get/hsa00830/image
171,hsa04350,TGF-beta signaling pathway,171_hsa04350_TGF-beta_signaling_pathway.png,https://rest.kegg.jp/get/hsa04350/image
172,hsa04390,Hippo signaling pathway,172_hsa04390_Hippo_signaling_pathway.png,https://rest.kegg.jp/get/hsa04390/image
173,hsa03320,PPAR signaling pathway,173_hsa03320_PPAR_signaling_pathway.png,https://rest.kegg.jp/get/hsa03320/image
174,hsa04360,Axon guidance,174_hsa04360_Axon_guidance.png,https://rest.kegg.jp/get/hsa04360/image
175,hsa04640,Hematopoietic cell lineage,175_hsa04640_Hematopoietic_cell_lineage.png,https://rest.kegg.jp/get/hsa04640/image
176,hsa04530,Tight junction,176_hsa04530_Tight_junction.png,https://rest.kegg.jp/get/hsa04530/image
177,hsa04137,Mitophagy - animal,177_hsa04137_Mitophagy_-_animal.png,https://rest.kegg.jp/get/hsa04137/image
178,hsa03272,Virion - Hepatitis viruses,178_hsa03272_Virion_-_Hepatitis_viruses.png,https://rest.kegg.jp/get/hsa03272/image
179,hsa04610,Complement and coagulation cascades,179_hsa04610_Complement_and_coagulation_cascades.png,https://rest.kegg.jp/get/hsa04610/image
180,hsa04270,Vascular smooth muscle contraction,180_hsa04270_Vascular_smooth_muscle_contraction.png,https://rest.kegg.jp/get/hsa04270/image
181,hsa00480,Glutathione metabolism,181_hsa00480_Glutathione_metabolism.png,https://rest.kegg.jp/get/hsa00480/image
182,hsa00220,Arginine biosynthesis,182_hsa00220_Arginine_biosynthesis.png,https://rest.kegg.jp/get/hsa00220/image
183,hsa04923,Regulation of lipolysis in adipocytes,183_hsa04923_Regulation_of_lipolysis_in_adipocytes.png,https://rest.kegg.jp/get/hsa04923/image
184,hsa05200,Pathways in cancer,184_hsa05200_Pathways_in_cancer.png,https://rest.kegg.jp/get/hsa05200/image
185,hsa04216,Ferroptosis,185_hsa04216_Ferroptosis.png,https://rest.kegg.jp/get/hsa04216/image
186,hsa04142,Lysosome biogenesis,186_hsa04142_Lysosome_biogenesis.png,https://rest.kegg.jp/get/hsa04142/image
187,hsa04141,Protein processing in endoplasmic reticulum,187_hsa04141_Protein_processing_in_endoplasmic_reticulum.png,https://rest.kegg.jp/get/hsa04141/image
188,hsa04144,Endocytosis,188_hsa04144_Endocytosis.png,https://rest.kegg.jp/get/hsa04144/image
189,hsa04146,Peroxisome,189_hsa04146_Peroxisome.png,https://rest.kegg.jp/get/hsa04146/image
190,hsa04330,Notch signaling pathway,190_hsa04330_Notch_signaling_pathway.png,https://rest.kegg.jp/get/hsa04330/image
191,hsa04340,Hedgehog signaling pathway,191_hsa04340_Hedgehog_signaling_pathway.png,https://rest.kegg.jp/get/hsa04340/image
192,hsa04512,ECM-receptor interaction,192_hsa04512_ECM-receptor_interaction.png,https://rest.kegg.jp/get/hsa04512/image
193,hsa04612,Antigen processing and presentation,193_hsa04612_Antigen_processing_and_presentation.png,https://rest.kegg.jp/get/hsa04612/image
194,hsa04022,cGMP-PKG signaling pathway,194_hsa04022_cGMP-PKG_signaling_pathway.png,https://rest.kegg.jp/get/hsa04022/image
195,hsa04710,Circadian rhythm,195_hsa04710_Circadian_rhythm.png,https://rest.kegg.jp/get/hsa04710/image
196,hsa04714,Thermogenesis,196_hsa04714_Thermogenesis.png,https://rest.kegg.jp/get/hsa04714/image
197,hsa04724,Glutamatergic synapse,197_hsa04724_Glutamatergic_synapse.png,https://rest.kegg.jp/get/hsa04724/image
198,hsa04727,GABAergic synapse,198_hsa04727_GABAergic_synapse.png,https://rest.kegg.jp/get/hsa04727/image
199,hsa04728,Dopaminergic synapse,199_hsa04728_Dopaminergic_synapse.png,https://rest.kegg.jp/get/hsa04728/image
200,hsa04911,Insulin secretion,200_hsa04911_Insulin_secretion.png,https://rest.kegg.jp/get/hsa04911/image
201,hsa04974,Protein digestion and absorption,201_hsa04974_Protein_digestion_and_absorption.png,https://rest.kegg.jp/get/hsa04974/image
202,hsa04978,Mineral absorption,202_hsa04978_Mineral_absorption.png,https://rest.kegg.jp/get/hsa04978/image
203,hsa04979,Cholesterol metabolism,203_hsa04979_Cholesterol_metabolism.png,https://rest.kegg.jp/get/hsa04979/image
204,hsa05012,Parkinson disease,204_hsa05012_Parkinson_disease.png,https://rest.kegg.jp/get/hsa05012/image
205,hsa05014,Amyotrophic lateral sclerosis,205_hsa05014_Amyotrophic_lateral_sclerosis.png,https://rest.kegg.jp/get/hsa05014/image
206,hsa05016,Huntington disease,206_hsa05016_Huntington_disease.png,https://rest.kegg.jp/get/hsa05016/image
207,hsa05410,Hypertrophic cardiomyopathy,207_hsa05410_Hypertrophic_cardiomyopathy.png,https://rest.kegg.jp/get/hsa05410/image
208,hsa05414,Dilated cardiomyopathy,208_hsa05414_Dilated_cardiomyopathy.png,https://rest.kegg.jp/get/hsa05414/image
209,hsa04260,Cardiac muscle contraction,209_hsa04260_Cardiac_muscle_contraction.png,https://rest.kegg.jp/get/hsa04260/image
210,hsa04261,Adrenergic signaling in cardiomyocytes,210_hsa04261_Adrenergic_signaling_in_cardiomyocytes.png,https://rest.kegg.jp/get/hsa04261/image
211,hsa00100,Steroid biosynthesis,211_hsa00100_Steroid_biosynthesis.png,https://rest.kegg.jp/get/hsa00100/image
212,hsa04975,Fat digestion and absorption,212_hsa04975_Fat_digestion_and_absorption.png,https://rest.kegg.jp/get/hsa04975/image
